country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	m18_24	male (18-24)	7392	1259	15111074	4600792	121359	29314
DK	Denmark	f18_24	female (18-24)	7442	1293	12870390	4150687	98444	23705
DK	Denmark	m25_34	male (25-34)	8115	1366	11279219	3426205	97977	23129
DK	Denmark	f25_34	female (25-34)	8310	1412	9676444	3121507	89901	21242
DK	Denmark	f35_44	female (35-44)	8374	1394	8280593	2653564	88974	21037
DK	Denmark	m35_44	male (35-44)	8235	1352	8031195	2433806	74499	17134
DK	Denmark	f45_54	female (45-54)	8089	1358	7733103	2417186	84994	20479
DK	Denmark	m45_54	male (45-54)	7873	1313	7589883	2253274	72776	16963
DK	Denmark	f65_	female (65+)	6828	1173	6964640	2094293	73215	18661
DK	Denmark	f55_64	female (55-64)	7378	1280	6606022	2005649	70711	17524
