audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	PL	Poland	4693	1223	14935067	5764400	37947	7178
f18_24	female (18-24)	PL	Poland	4911	1248	14271230	5628225	33892	6976
m25_34	male (25-34)	PL	Poland	5288	1361	13283865	5185169	38734	7550
f25_34	female (25-34)	PL	Poland	5551	1396	11038145	4401728	29274	5649
f35_44	female (35-44)	PL	Poland	5516	1380	9835123	3657468	26497	4906
m35_44	male (35-44)	PL	Poland	5254	1345	9377241	3428222	27194	4920
f55_64	female (55-64)	PL	Poland	4582	1209	7369828	2363474	23227	3555
f45_54	female (45-54)	PL	Poland	5273	1310	6786909	2361367	19856	3477
m45_54	male (45-54)	PL	Poland	5015	1280	5705569	1974481	17730	2992
f65_	female (65+)	PL	Poland	3696	1061	4685934	1492070	14845	2252
m55_64	male (55-64)	PL	Poland	4362	1183	3923858	1265233	12507	1802
m65_	male (65+)	PL	Poland	3532	1049	2736076	893103	8563	1261
f13_17	female (13-17)	PL	Poland	680	229	1859439	679524	3260	331
m13_17	male (13-17)	PL	Poland	651	221	1284818	478266	2401	272
u35_44	unknown (35-44)	PL	Poland	3996	1115	118360	42580	413	74
u25_34	unknown (25-34)	PL	Poland	3512	1025	76046	28508	291	56
u18_24	unknown (18-24)	PL	Poland	2642	831	43506	15388	162	29
u45_54	unknown (45-54)	PL	Poland	3299	968	40232	14309	154	28
u65_	unknown (65+)	PL	Poland	2229	777	23278	7522	78	11
u55_64	unknown (55-64)	PL	Poland	2363	786	17043	5619	58	8
u13_17	unknown (13-17)	PL	Poland	375	167	4571	1704	11	0
