advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	u	unknown	IT	Italy	11	1	16651	8107	93	18
Avaaz	Avaaz	8340223883	Facebook	u	unknown	IT	Italy	32	1	15440	6825	63	21
Carlo Calenda	Siamo Europei	131887960826264	Facebook	u	unknown	IT	Italy	11	1	14021	6660	58	13
Save the Children Italia	Save the Children Italia	46590675335	Facebook	u	unknown	IT	Italy	5	1	12952	5510	29	10
European Commission	European Commission	107898832590939	Facebook	u	unknown	IT	Italy	29	1	12670	5712	22	5
Partito Democratico	Partito Democratico	77034286895	Facebook	u	unknown	IT	Italy	54	1	11817	5142	72	12
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	u	unknown	IT	Italy	94	1	10938	4310	45	8
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	u	unknown	IT	Italy	12	1	10905	5003	58	12
Più Europa	Più Europa	126662574668084	Facebook	u	unknown	IT	Italy	9	1	10266	4602	53	14
European Greens	European Greens	141366725876424	Facebook	u	unknown	IT	Italy	11	1	10233	4260	50	12
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	u	unknown	IT	Italy	67	1	10054	4131	53	11
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	u	unknown	IT	Italy	22	1	9496	4566	59	12
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	u	unknown	IT	Italy	21	1	7341	3108	43	10
Giuliano Pisapia	Giuliano Pisapia	112352038802143	Facebook	u	unknown	IT	Italy	15	1	7134	3117	23	5
Nicola Fratoianni	Nicola Fratoianni	116181541819083	Facebook	u	unknown	IT	Italy	13	1	6672	2825	15	4
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	u	unknown	IT	Italy	15	1	6596	1535	13	0
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	u	unknown	IT	Italy	30	1	6225	2322	44	10
Brando Benifei	Brando Benifei	291380024325396	Facebook	u	unknown	IT	Italy	9	1	6175	2664	43	11
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	u	unknown	IT	Italy	11	1	6068	2916	32	6
Forza Italia	Forza Italia	172265396249029	Facebook	u	unknown	IT	Italy	9	1	5148	2299	11	3
Nicola Zingaretti	Partito Democratico	38423524033	Facebook	u	unknown	IT	Italy	5	1	5090	2097	5	1
Antonio Silvio Calò	Antonio Silvio Calò	740380199679755	Facebook	u	unknown	IT	Italy	16	1	4986	1923	12	3
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u	unknown	IT	Italy	30	1	4723	2010	11	3
Caterina Avanza	Partito Democratico - Caterina Avanza	623847078064207	Facebook	u	unknown	IT	Italy	24	1	4568	1714	37	12
Annalisa Corrado	ANNALISA CORRADO (mandataria elettorale Serena Drigo)	152120842162775	Facebook	u	unknown	IT	Italy	76	1	4568	1434	35	0
