recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-15	2019-05-15	UK	United Kingdom	2083	266	6131818	2157186	75647	9555
rd2	Last 2 days	2019-05-14	2019-05-15	UK	United Kingdom	2328	317	12970649	4518767	169042	20341
rd3	Last 3 days	2019-05-13	2019-05-15	UK	United Kingdom	2637	356	19305589	6722718	256438	31012
rd4	Last 4 days	2019-05-12	2019-05-15	UK	United Kingdom	2783	393	24353583	8501979	324851	41226
rd5	Last 5 days	2019-05-11	2019-05-15	UK	United Kingdom	2991	436	29869322	10459665	405720	52041
rd6	Last 6 days	2019-05-10	2019-05-15	UK	United Kingdom	3313	469	35815930	12644312	499684	66267
rw1	Last week	2019-05-09	2019-05-15	UK	United Kingdom	3424	503	40400606	14196139	550624	73539
rw2	Last 2 weeks	2019-05-02	2019-05-15	UK	United Kingdom	7887	1419	88760235	31099505	1202500	164692
rw3	Last 3 weeks	2019-04-25	2019-05-15	UK	United Kingdom	11681	1756	143253271	48764495	2081067	269336
rw4	Last 4 weeks	2019-04-18	2019-05-15	UK	United Kingdom	14177	1973	176294398	59734796	2534661	312989
rm1	Last month	2019-04-16	2019-05-15	UK	United Kingdom	14760	2048	184006002	62357481	2646716	326082
rm2	Last 2 months	2019-03-17	2019-05-15	UK	United Kingdom	26405	3262	354188284	119422171	4920055	621648
rm3	Last 3 months	2019-02-15	2019-05-15	UK	United Kingdom	34453	3821	493437174	166912807	6482060	823709
rm6	Last 6 months	2019-01-01	2019-05-15	UK	United Kingdom	42642	4288	692792916	235071518	8508333	1118959
