advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	0_1k	0 - 1k	4691	1	31652170	0	282143	13764
COALICION CANARIA		AR489541609348661248	Google	0_1k	0 - 1k	4654	1	31402516	0	157012	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	0_1k	0 - 1k	1909	1	12880834	0	64404	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_1k	0 - 1k	1382	1	9324941	0	46624	0
HLAS		AR312619193323225088	Google	0_1k	0 - 1k	814	1	5492403	0	31712	472
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_1k	0 - 1k	697	1	4702955	0	23514	0
CDU	CDU	78502295414	Facebook	0_1k	0 - 1k	3022	1	3018977	0	299178	0
Open Vld		AR369049153717665792	Google	0_1k	0 - 1k	311	1	2098449	0	10492	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	0_1k	0 - 1k	278	1	1875784	0	35660	1012
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	0_1k	0 - 1k	268	1	1808309	0	9041	0
Det Konservative Folkeparti		AR40969452518375424	Google	0_1k	0 - 1k	260	1	1754330	0	12415	404
Mediabrands Digital OÜ		AR530356305605427200	Google	0_1k	0 - 1k	242	1	1632876	0	8164	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	0_1k	0 - 1k	215	1	1450696	0	7557	33
Gestion et Action Libérale		AR201311233196949504	Google	0_1k	0 - 1k	207	1	1396716	0	10627	404
Flamesite s.r.o.		AR522320249995919360	Google	0_1k	0 - 1k	193	1	1302253	0	6511	0
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	0_1k	0 - 1k	174	1	1174051	0	6781	101
Sloboda a Solidarita		AR242125929453715456	Google	0_1k	0 - 1k	159	1	1072840	0	6275	101
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	0_1k	0 - 1k	1049	1	1047950	0	103851	0
TOP 09		AR268709096956362752	Google	0_1k	0 - 1k	148	1	998618	0	4993	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	0_1k	0 - 1k	136	1	917649	0	4588	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	0_1k	0 - 1k	131	1	883912	0	9581	573
Bündnis90/ Die Grünen		AR207068276079984640	Google	0_1k	0 - 1k	118	1	796196	0	9750	641
Liberal Alliance		AR183859784640888832	Google	0_1k	0 - 1k	115	1	775953	0	7523	404
SF - Socialistisk Folkeparti		AR76998249537339392	Google	0_1k	0 - 1k	115	1	775953	0	6308	269
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	0_1k	0 - 1k	110	1	742216	0	6140	269
