advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	50k_100k	50k - 100k	294	1	8850281	885028	43574	4349
Open Vld		AR369049153717665792	Google	50k_100k	50k - 100k	259	1	7796676	779667	16360	1384
European Parliament	European Parliament	178362315106	Facebook	50k_100k	50k - 100k	59	1	5899941	2950000	40141	9500
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50k_100k	50k - 100k	184	1	5538951	553895	14359	436
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	50k_100k	50k - 100k	55	1	5499945	2750000	29945	7500
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	50k_100k	50k - 100k	178	1	5358333	535833	6607	436
European Parliament		AR345426421272805376	Google	50k_100k	50k - 100k	177	1	5328230	532823	17971	1700
COALICION CANARIA		AR489541609348661248	Google	50k_100k	50k - 100k	171	1	5147612	514761	13215	331
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	50k_100k	50k - 100k	149	1	4485346	448534	5358	346
Sloboda a Solidarita		AR242125929453715456	Google	50k_100k	50k - 100k	124	1	3732771	373277	26400	1023
Mediabrands Digital OÜ		AR530356305605427200	Google	50k_100k	50k - 100k	120	1	3612359	361235	2077	30
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	50k_100k	50k - 100k	113	1	3401638	340163	1700	0
The Labour Party	The Labour Party	25749647410	Facebook	50k_100k	50k - 100k	28	1	2799972	1400000	23111	5670
Partido Popular Regional De Canarias		AR288284801977286656	Google	50k_100k	50k - 100k	93	1	2799578	279957	1806	45
mmb media agentur d.o.o.		AR524572049809604608	Google	50k_100k	50k - 100k	93	1	2799578	279957	2483	120
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	50k_100k	50k - 100k	92	1	2769475	276947	91332	2332
SOCIALDEMOKRATIET		AR271193993235136512	Google	50k_100k	50k - 100k	85	1	2558754	255875	90549	2257
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50k_100k	50k - 100k	25	1	2499975	1250000	17907	5670
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	50k_100k	50k - 100k	83	1	2498548	249854	43950	1339
AMERISOFT SRL		AR573801583431647232	Google	50k_100k	50k - 100k	83	1	2498548	249854	1249	0
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	50k_100k	50k - 100k	80	1	2408239	240823	15773	767
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50k_100k	50k - 100k	24	1	2399976	1200000	6654	2909
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	50k_100k	50k - 100k	24	1	2399976	1200000	42209	12960
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	50k_100k	50k - 100k	79	1	2378136	237813	2001	90
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	50k_100k	50k - 100k	23	1	2299977	1150000	7118	3002
Slovenská ľudová strana Andreja Hlinku		AR443277183708823552	Google	50k_100k	50k - 100k	74	1	2227621	222762	5042	436
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	50k_100k	50k - 100k	73	1	2197518	219751	1505	45
HLAS		AR312619193323225088	Google	50k_100k	50k - 100k	73	1	2197518	219751	11469	301
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	50k_100k	50k - 100k	73	1	2197518	219751	13365	511
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	50k_100k	50k - 100k	70	1	2107209	210720	1053	0
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	50k_100k	50k - 100k	21	1	2099979	1050000	30095	10742
Open Vld	Open Vld	53668151866	Facebook	50k_100k	50k - 100k	20	1	1999980	1000000	15980	6800
FDP	FDP	21289227249	Facebook	50k_100k	50k - 100k	18	1	1799982	900000	8582	1700
SPD	SPD	47930567748	Facebook	50k_100k	50k - 100k	18	1	1799982	900000	9482	2200
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	50k_100k	50k - 100k	18	1	1799982	900000	9182	2400
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	50k_100k	50k - 100k	17	1	1699983	850000	14352	6760
INBOX	New Digital Media	369693523475596	Facebook	50k_100k	50k - 100k	17	1	1699983	850000	2483	200
Venstres Landsorganisation		AR283015942256984064	Google	50k_100k	50k - 100k	56	1	1685767	168576	106113	2332
Moderaterna	Moderaterna	7719591155	Facebook	50k_100k	50k - 100k	16	1	1599984	800000	47691	11205
Best For Britain	Best for Britain	1863944713844924	Facebook	50k_100k	50k - 100k	16	1	1599984	800000	9817	2314
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	50k_100k	50k - 100k	16	1	1599984	800000	13289	5091
Liberal Alliance		AR183859784640888832	Google	50k_100k	50k - 100k	51	1	1535252	153525	33911	1128
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	50k_100k	50k - 100k	51	1	1535252	153525	29847	677
Fidesz	Fidesz	9844779306	Facebook	50k_100k	50k - 100k	15	1	1499985	750000	11607	5138
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	50k_100k	50k - 100k	15	1	1499985	750000	4409	1449
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	50k_100k	50k - 100k	15	1	1499985	750000	7485	1500
FDP Landesverband Saarland		AR227104401595039744	Google	50k_100k	50k - 100k	48	1	1444943	144494	5463	526
Alfahír	Alfahír Hírportál	525574220799452	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	4023	1826
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	40746	8705
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	6586	1300
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	7986	2200
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	1572	378
Avaaz	Avaaz	8340223883	Facebook	50k_100k	50k - 100k	14	1	1399986	700000	6586	1300
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	50k_100k	50k - 100k	46	1	1384737	138473	827	15
Progresívne Slovensko		AR114793686864232448	Google	50k_100k	50k - 100k	45	1	1354634	135463	2031	150
SPÖ	SPÖ	77393060080	Facebook	50k_100k	50k - 100k	13	1	1299987	650000	10487	4500
Демократична България	Демократична България	995342840629890	Facebook	50k_100k	50k - 100k	13	1	1299987	650000	6487	1300
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	50k_100k	50k - 100k	13	1	1299987	650000	6487	1300
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	50k_100k	50k - 100k	40	1	1204119	120411	602	0
CD&V	CD&V	52997544531	Facebook	50k_100k	50k - 100k	12	1	1199988	600000	10488	2100
Bündnis90/ Die Grünen		AR207068276079984640	Google	50k_100k	50k - 100k	39	1	1174016	117401	174597	3160
Partidul Pro Romania		AR116025139887341568	Google	50k_100k	50k - 100k	37	1	1113810	111381	37433	692
Freie Demokratische Partei (FDP)		AR134039538396823552	Google	50k_100k	50k - 100k	37	1	1113810	111381	3808	361
Svobodní		AR190231179645943808	Google	50k_100k	50k - 100k	37	1	1113810	111381	1098	60
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	8032	2008
Die Grünen	Die Grünen	21759893033	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	7989	3100
Peter Mertens	PVDA	236485149843971	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	7989	3100
Παύλος Γερουλάνος	Παύλος Γερουλάνος	196882087005924	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	5489	1100
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	3489	600
Exit from Brexit	the Liberal Democrats	1600429670027154	Facebook	50k_100k	50k - 100k	11	1	1099989	550000	10401	4513
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	50k_100k	50k - 100k	10	1	999990	500000	17405	6293
Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou	Πλεύση Ελευθερίας	1489639131352219	Facebook	50k_100k	50k - 100k	10	1	999990	500000	1790	200
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	50k_100k	50k - 100k	10	1	999990	500000	2476	1052
