impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	28554	1176	140424287	0	1772996	24942
1k_5k	1k - 5k	23725	1063	55306116	4259000	632853	8848
5k_10k	5k - 10k	20254	550	22528836	3940000	176988	6096
10k_50k	10k - 50k	22899	572	160487748	19103902	1610418	64927
50k_100k	50k - 100k	2672	194	90430342	14763048	1069362	43734
100k_200k	100k - 200k	3408	160	90930411	15013048	1090932	48881
200k_500k	200k - 500k	862	116	348841649	43434170	2747095	86842
500k_1m	500k - 1m	813	89	250329138	28232914	2054007	61856
1m_10m	1m - 10m	928	86	748361097	74836109	3153847	90486
10m_1000m	10m - 1000m	126	30	1023968049	102396804	1754225	93184
