impression_code_filter	impression_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
1m_10m	1m - 10m	AMERISOFT SRL		AR573801583431647232	Google	32	1	9632959	963295	481	0
1m_10m	1m - 10m	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	28	1	8428839	842883	421	0
1m_10m	1m - 10m	GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	7	1	2107209	210720	105	0
1m_10m	1m - 10m	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	5	1	1505149	150514	75	0
1m_10m	1m - 10m	CDA Doetinchem		AR453512812329697280	Google	5	1	1505149	150514	75	0
1m_10m	1m - 10m	mmb media agentur d.o.o.		AR524572049809604608	Google	5	1	1505149	150514	75	0
1m_10m	1m - 10m	KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	4	1	1204119	120411	60	0
1m_10m	1m - 10m	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	2	1	602059	60205	30	0
1m_10m	1m - 10m	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	2	1	602059	60205	30	0
1m_10m	1m - 10m	Slovenska demokratska stranka		AR170068335415787520	Google	1	1	301029	30102	15	0
1m_10m	1m - 10m	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	1	1	301029	30102	15	0
1m_10m	1m - 10m	Partido Popular Regional De Canarias		AR288284801977286656	Google	1	1	301029	30102	15	0
1m_10m	1m - 10m	Strana nezávislosti České republiky		AR465054111008555008	Google	1	1	301029	30102	15	0
