advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	0_1k	0 - 1k	11577	1	78114939	0	514457	13764
COALICION CANARIA		AR489541609348661248	Google	0_1k	0 - 1k	5236	1	35329517	0	176951	33
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	0_1k	0 - 1k	2424	1	16355758	0	81778	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_1k	0 - 1k	1434	1	9675807	0	49897	168
CDU	CDU	78502295414	Facebook	0_1k	0 - 1k	8289	1	8280710	0	820610	0
HLAS		AR312619193323225088	Google	0_1k	0 - 1k	927	1	6254862	0	35828	506
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	0_1k	0 - 1k	873	1	5890502	0	29452	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_1k	0 - 1k	690	1	4655723	0	23278	0
Open Vld		AR369049153717665792	Google	0_1k	0 - 1k	487	1	3285995	0	21895	607
SPD	SPD	47930567748	Facebook	0_1k	0 - 1k	3158	1	3154841	0	312642	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	0_1k	0 - 1k	3146	1	3142853	0	311454	0
Sloboda a Solidarita		AR242125929453715456	Google	0_1k	0 - 1k	404	1	2725959	0	14237	67
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	0_1k	0 - 1k	2309	1	2306690	0	228591	0
Det Konservative Folkeparti		AR40969452518375424	Google	0_1k	0 - 1k	319	1	2152428	0	22603	1315
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	0_1k	0 - 1k	2071	1	2068929	0	237257	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	0_1k	0 - 1k	305	1	2057964	0	10289	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	0_1k	0 - 1k	300	1	2024227	0	37313	1113
Mediabrands Digital OÜ		AR530356305605427200	Google	0_1k	0 - 1k	230	1	1551907	0	7759	0
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	0_1k	0 - 1k	1465	1	1463534	0	145035	0
Bündnis 90/Die Grünen Landesverband RLP		AR50338116220747776	Google	0_1k	0 - 1k	215	1	1450696	0	10289	337
Venstres Landsorganisation		AR283015942256984064	Google	0_1k	0 - 1k	214	1	1443948	0	12077	539
Gestion et Action Libérale		AR201311233196949504	Google	0_1k	0 - 1k	207	1	1396716	0	12448	607
Flamesite s.r.o.		AR522320249995919360	Google	0_1k	0 - 1k	200	1	1349485	0	6747	0
VVD		AR300729074580455424	Google	0_1k	0 - 1k	198	1	1335990	0	6983	33
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	0_1k	0 - 1k	194	1	1309000	0	10492	438
SVERIGES SOCIALDEMOKRATISKA ARBETAREPARTI		AR262288773683871744	Google	0_1k	0 - 1k	194	1	1309000	0	15957	1045
Bündnis90/ Die Grünen		AR207068276079984640	Google	0_1k	0 - 1k	179	1	1207789	0	44161	2327
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	0_1k	0 - 1k	175	1	1180799	0	5903	0
Svobodní		AR190231179645943808	Google	0_1k	0 - 1k	168	1	1133567	0	5667	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	0_1k	0 - 1k	158	1	1066093	0	5330	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	0_1k	0 - 1k	148	1	998618	0	4993	0
TOP 09		AR268709096956362752	Google	0_1k	0 - 1k	148	1	998618	0	4993	0
Conservatives	The Conservative Party	8807334278	Facebook	0_1k	0 - 1k	932	1	931068	0	106771	0
Liberal Alliance		AR183859784640888832	Google	0_1k	0 - 1k	132	1	890660	0	7489	337
FDP	FDP	21289227249	Facebook	0_1k	0 - 1k	861	1	860139	0	85239	0
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	0_1k	0 - 1k	122	1	823185	0	4115	0
SF - Socialistisk Folkeparti		AR76998249537339392	Google	0_1k	0 - 1k	119	1	802943	0	8569	506
Liberal Alliance Djursland		AR73057599863390208	Google	0_1k	0 - 1k	118	1	796196	0	3980	0
European Parliament		AR345426421272805376	Google	0_1k	0 - 1k	115	1	775953	0	3879	0
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	0_1k	0 - 1k	114	1	769206	0	3846	0
Politieke Partij Democraten 66		AR204688932917477376	Google	0_1k	0 - 1k	111	1	748964	0	26382	607
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	0_1k	0 - 1k	110	1	742216	0	6140	269
Δημήτριος Καιρίδης		AR532504751326101504	Google	0_1k	0 - 1k	108	1	728721	0	3643	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	0_1k	0 - 1k	105	1	708479	0	28001	809
Slovenská ľudová strana Andreja Hlinku		AR443277183708823552	Google	0_1k	0 - 1k	102	1	688237	0	3441	0
ODS		AR230482101315567616	Google	0_1k	0 - 1k	98	1	661247	0	6342	337
Freie Demokratische Partei (FDP)		AR134039538396823552	Google	0_1k	0 - 1k	87	1	587025	0	3846	101
Partidul Pro Romania		AR116025139887341568	Google	0_1k	0 - 1k	83	1	560036	0	6140	371
SPOLU - občianska demokracia		AR194838133366325248	Google	0_1k	0 - 1k	79	1	533046	0	5094	269
Projekt Európa		AR303746959120793600	Google	0_1k	0 - 1k	78	1	526299	0	3238	67
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	0_1k	0 - 1k	76	1	512804	0	30059	1147
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	0_1k	0 - 1k	76	1	512804	0	2564	0
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	0_1k	0 - 1k	75	1	506056	0	2530	0
