advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	10m_1000m	10m - 1000m	31	1	370691653	37069165	537348	9004
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	10m_1000m	10m - 1000m	34	1	294235330	29423533	508525	8622
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	10m_1000m	10m - 1000m	10	1	247087352	24708735	201262	3354
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	10m_1000m	10m - 1000m	24	1	235376139	23537613	418764	7003
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	10m_1000m	10m - 1000m	13	1	170631029	17063102	271893	33531
AMERISOFT SRL		AR573801583431647232	Google	10m_1000m	10m - 1000m	20	1	117718382	11771838	23249	853
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	10m_1000m	10m - 1000m	3	1	111771838	11177183	95315	30588
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	10m_1000m	10m - 1000m	14	1	82402867	8240286	247208	4120
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	10m_1000m	10m - 1000m	11	1	64745110	6474511	194235	3237
Freiheitliche Partei Österreich		AR333020356698701824	Google	10m_1000m	10m - 1000m	9	1	52973271	5297327	176577	20012
Det Konservative Folkeparti		AR40969452518375424	Google	10m_1000m	10m - 1000m	7	1	41201433	4120143	123604	2060
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	10m_1000m	10m - 1000m	6	1	35315514	3531551	19129	441
Partidul Pro Romania		AR116025139887341568	Google	10m_1000m	10m - 1000m	5	1	29429595	2942959	1471	147
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	10m_1000m	10m - 1000m	5	1	29429595	2942959	88288	1471
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	10m_1000m	10m - 1000m	5	1	29429595	2942959	88288	1471
Popolari per l'Italia		AR406403961759727616	Google	10m_1000m	10m - 1000m	5	1	29429595	2942959	53561	941
Partido Animalista PACMA		AR145115193901318144	Google	10m_1000m	10m - 1000m	4	1	23543676	2354367	53267	912
NEA DEMOKRATIA		AR351183464155840512	Google	10m_1000m	10m - 1000m	4	1	23543676	2354367	70631	1177
HEADS, s.r.o.		AR356967719951663104	Google	10m_1000m	10m - 1000m	4	1	23543676	2354367	35904	647
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	10m_1000m	10m - 1000m	4	1	23543676	2354367	18540	382
SOCIALDEMOKRATIET		AR271193993235136512	Google	10m_1000m	10m - 1000m	3	1	17657757	1765775	52973	882
Občanska demokraticka strana		AR386241117529571328	Google	10m_1000m	10m - 1000m	3	1	17657757	1765775	882	88
Párbeszéd Magyarországért		AR567356246269624320	Google	10m_1000m	10m - 1000m	3	1	17657757	1765775	52973	882
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	10m_1000m	10m - 1000m	2	1	11771838	1177183	588	58
Lega per Salvini Premier		AR158424507277639680	Google	10m_1000m	10m - 1000m	2	1	11771838	1177183	35315	588
