advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	25_34	25-34	EL	Greece	89	1	5369985	2298156	10161	1974
Kyriakos Mitsotakis		34848567724	Facebook	25_34	25-34	EL	Greece	109	1	4941601	2079527	10844	2126
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	25_34	25-34	EL	Greece	146	1	3205110	1292979	10360	2282
European Parliament		178362315106	Facebook	25_34	25-34	EL	Greece	58	1	2592146	1201315	9968	2381
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	25_34	25-34	EL	Greece	58	1	2385022	1050870	5739	1379
Kialo		729627343834501	Facebook	25_34	25-34	EL	Greece	349	1	2077128	855101	10223	2435
INBOX	New Digital Media	369693523475596	Facebook	25_34	25-34	EL	Greece	64	1	2030067	893221	2322	204
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	25_34	25-34	EL	Greece	152	1	1626856	609897	8169	1323
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	25_34	25-34	EL	Greece	238	1	1584814	584444	6907	811
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	25_34	25-34	EL	Greece	12	1	1373123	622427	1651	497
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	25_34	25-34	EL	Greece	176	1	1243234	379138	4143	98
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	25_34	25-34	EL	Greece	44	1	980592	410891	2165	290
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	25_34	25-34	EL	Greece	99	1	914787	260875	2602	132
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	25_34	25-34	EL	Greece	144	1	796703	243117	6696	35
To Potami	To Potami	240638659452549	Facebook	25_34	25-34	EL	Greece	2	1	591535	295768	2956	734
Κατερινα Μαρκου	Pulse and Opinion S.A.	832766380123763	Facebook	25_34	25-34	EL	Greece	21	1	557835	236789	642	79
Eva Kaili	Eva Kaili	13721812367	Facebook	25_34	25-34	EL	Greece	21	1	536922	222971	1837	309
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	25_34	25-34	EL	Greece	86	1	486754	104281	1213	0
European Greens		141366725876424	Facebook	25_34	25-34	EL	Greece	26	1	470996	194722	1377	416
Παπαστράτος		1925659984382187	Facebook	25_34	25-34	EL	Greece	1	1	461645	230822	461	230
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25_34	25-34	EL	Greece	45	1	450742	182422	866	155
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	25_34	25-34	EL	Greece	84	1	434702	173938	1760	104
Μάκης Παπαδόπουλος - Ο Τόπος Της Ζωής Μας	Μάκης Παπαδόπουλος	1433780063507247	Facebook	25_34	25-34	EL	Greece	59	1	429516	114411	1484	21
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	25_34	25-34	EL	Greece	25	1	416873	189859	557	64
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	25_34	25-34	EL	Greece	73	1	412881	117465	2033	107
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	25_34	25-34	EL	Greece	51	1	330739	154383	623	162
Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	25_34	25-34	EL	Greece	3	1	325678	130632	357	64
Σπύρος Ριζόπουλος	Spyridon Rizopoulos	2127727860849871	Facebook	25_34	25-34	EL	Greece	63	1	322025	79989	1181	0
Βασίλης Σωτηρόπουλος	Vasileios Sotiropoulos	428087111291406	Facebook	25_34	25-34	EL	Greece	35	1	322015	75006	1118	0
