advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	SK	Slovakia	99	1	9911395	4601684	50437	10575
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	f	Facebook	SK	Slovakia	236	1	7281838	2578204	43184	5560
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	f	Facebook	SK	Slovakia	149	1	4978849	1667999	19150	1099
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	f	Facebook	SK	Slovakia	280	1	4655250	1350556	32548	1499
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	f	Facebook	SK	Slovakia	236	1	4271377	1249087	31348	1998
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	f	Facebook	SK	Slovakia	75	1	3946074	1303385	30681	6466
Maroš Šefčovič		245361515516655	Facebook	f	Facebook	SK	Slovakia	33	1	3916599	1624326	21250	4100
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	f	Facebook	SK	Slovakia	1167	1	3553595	693733	115496	0
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	f	Facebook	SK	Slovakia	79	1	3474886	1444991	19920	4399
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	f	Facebook	SK	Slovakia	66	1	3463932	1413999	19933	4999
European Commission		107898832590939	Facebook	f	Facebook	SK	Slovakia	22	1	3429225	1451653	9150	2314
OBYČAJNÍ ĽUDIA a nezávislé osobnosti	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	150674111712306	Facebook	f	Facebook	SK	Slovakia	42	1	3093661	1283885	15256	3599
Sme rodina	Sme rodina	600235073447674	Facebook	f	Facebook	SK	Slovakia	8	1	2899989	1269999	4191	1399
Ivan ŠTEFANEC		324560137683033	Facebook	f	Facebook	SK	Slovakia	41	1	2716816	1131952	12758	2499
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	f	Facebook	SK	Slovakia	129	1	2702870	950999	18870	1299
Norbert Kurilla	Most-Híd (Híd-Most)	355021862017547	Facebook	f	Facebook	SK	Slovakia	41	1	2661435	1029252	15851	4596
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	f	Facebook	SK	Slovakia	144	1	2478462	750017	21299	2587
Michal Wiezik - SPOLU za zelenú Európu	SPOLU - občianska demokracia	2631817786833672	Facebook	f	Facebook	SK	Slovakia	29	1	2289970	931999	14670	2499
Peter Puškár	Puskar Peter	299027620531773	Facebook	f	Facebook	SK	Slovakia	93	1	2249906	672999	14406	1299
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	f	Facebook	SK	Slovakia	70	1	2205546	679691	10122	800
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	f	Facebook	SK	Slovakia	82	1	2191357	653887	9693	400
