gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u	unknown	People's Vote UK	People's Vote	748608695327755	Facebook	3177	1	1479187	517251	23474	4210
u	unknown	Britain's Future	Britain's Future	1625300137516491	Facebook	3997	1	1165461	348703	14182	1994
u	unknown	European Parliament		178362315106	Facebook	1715	1	1010271	445085	6139	1507
u	unknown	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2166	1	892409	299645	11474	1117
u	unknown	Kialo		729627343834501	Facebook	729	1	851016	337926	6366	1596
u	unknown	Best For Britain	Best for Britain	1863944713844924	Facebook	740	1	606134	255601	8237	1970
u	unknown	38 Degrees	38 Degrees	200006375787	Facebook	631	1	473870	171936	3321	483
u	unknown	Podemos	Unidas Podemos	269212336568846	Facebook	295	1	471291	212525	2904	766
u	unknown	The Labour Party	The Labour Party	25749647410	Facebook	605	1	439476	169894	3810	785
u	unknown	Conservatives	The Conservative Party	8807334278	Facebook	1261	1	409535	154918	5482	732
u	unknown	Ciudadanos	Ciudadanos	74078667754	Facebook	3502	1	363706	111241	3686	274
u	unknown	Greenpeace France		39435457457	Facebook	119	1	324326	145065	1583	368
u	unknown	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	317626	116607	893	119
u	unknown	Sosialidemokraatit SDP		108945982480217	Facebook	305	1	263984	102408	1642	357
u	unknown	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	538	1	256156	91217	3576	597
u	unknown	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	617	1	244142	87717	4995	874
u	unknown	Plan International Sverige		382243262003	Facebook	302	1	219081	69897	1830	438
u	unknown	Partido Popular	Partido Popular	72249031214	Facebook	1503	1	214791	82543	1314	199
u	unknown	European Greens	European Greens	141366725876424	Facebook	89	1	201800	89724	1601	390
u	unknown	The Brexit Party	The Brexit Party	230416667843105	Facebook	71	1	174074	82347	2332	692
u	unknown	Right To Vote	Right to Vote	408236463256774	Facebook	350	1	153600	39043	1333	192
u	unknown	Médecins du Monde France		265420476920	Facebook	679	1	137996	43058	2314	159
u	unknown	sp.a	sp.a	57253967150	Facebook	398	1	134531	54397	603	134
u	unknown	Amnesty International UK		7624294394	Facebook	83	1	131513	57276	1296	422
u	unknown	Scientists for EU	Scientists for EU	642444842524195	Facebook	62	1	127065	41105	856	144
