advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Arbeitnehmer und Rentner Union ARU	Peter Otto Arthur Rippler 	408239062653173	Facebook	35_44	35-44	DE	Germany	3	1	1443	545	20	0
Freie Demokraten Marburg-Biedenkopf	FDP Marburg-Biedenkopf	1809612912702100	Facebook	35_44	35-44	DE	Germany	3	1	1396	251	38	0
CDU Ostprignitz-Ruppin	CDU OPR	226018367465596	Facebook	35_44	35-44	DE	Germany	8	1	1378	0	136	0
SPD Kreisverband Pinneberg	SPD Kreisverband Pinneberg	123555224338965	Facebook	35_44	35-44	DE	Germany	1	1	1328	664	13	0
Grüne im Kreis Germersheim	BÜNDNIS 90/DIE GRÜNEN KV Germerseheim	272673066211280	Facebook	35_44	35-44	DE	Germany	3	1	1288	170	60	0
Kampf dem Gemurkse	Freie Bürger für Baden-Baden e.V.	217852272501802	Facebook	35_44	35-44	DE	Germany	2	1	1280	218	40	0
SPD Neckarsulm	SPD Neckarsulm	140119866067404	Facebook	35_44	35-44	DE	Germany	3	1	1279	190	51	0
Hans Otto Gerlach	Hans-Otto Gerlach	2381809058770304	Facebook	35_44	35-44	DE	Germany	1	1	1275	255	25	0
#NatürlichEuropa	Deutscher Naturschutzring DNR e.V.	255657841991242	Facebook	35_44	35-44	DE	Germany	1	1	1244	248	24	0
Bündnis 90/Die Grünen Hamm	Beatrice Paulsen	327967467285486	Facebook	35_44	35-44	DE	Germany	1	1	1232	616	12	0
Grüne Jena	Wolfgang Volkmer	367774396672401	Facebook	35_44	35-44	DE	Germany	1	1	1212	242	24	0
BÜNDNIS 90/DIE GRÜNEN Kreisverband Neckar-Odenwald	Bündnis 90/Die Grünen, Kreisverband Neckar-Odenwald	546103272077045	Facebook	35_44	35-44	DE	Germany	8	1	1209	0	119	0
SPD Region Hannover	Ermana Nurkovic	110715173724	Facebook	35_44	35-44	DE	Germany	1	1	1172	234	23	0
Alternative für Deutschland Mayen-Koblenz	Alternative für Deutschland Mayen-Koblenz	160882790765796	Facebook	35_44	35-44	DE	Germany	7	1	1126	72	82	0
SPD Dresden-West	SPD Ortsverein Dresden-West	164123927360388	Facebook	35_44	35-44	DE	Germany	1	1	1109	221	21	0
CDU Rhein-Hunsrück	CDU Rhein-Hunsrück	253060498157297	Facebook	35_44	35-44	DE	Germany	1	1	1102	220	21	0
Robert Farle	Robert Farle	1565754943752371	Facebook	35_44	35-44	DE	Germany	2	1	1097	510	17	0
FDP Worms	FDP Worms	423656078410758	Facebook	35_44	35-44	DE	Germany	1	1	1078	215	21	0
Steffen Beckmann AfD	Steffen Beckmann	2242760109144391	Facebook	35_44	35-44	DE	Germany	1	1	1077	215	21	0
Constanze Krehl, MdEP	Ayla Haid 	370525506320360	Facebook	35_44	35-44	DE	Germany	1	1	1072	214	21	0
JU-Kreisverband Deggendorf	Stefan Johann Zitzelsberger	377562525780294	Facebook	35_44	35-44	DE	Germany	4	1	1063	155	43	0
BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein	BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein	1608463192727453	Facebook	35_44	35-44	DE	Germany	1	1	1062	212	21	0
AfD Stuttgart	AfD Stuttgart	1224202144262985	Facebook	35_44	35-44	DE	Germany	1	1	1056	211	20	0
CDU Kreisverband Germersheim	CDU Kreisverband Germersheim	326178750781527	Facebook	35_44	35-44	DE	Germany	3	1	1044	0	103	0
CDU Brohltal	CDU Brohltal	956080184452111	Facebook	35_44	35-44	DE	Germany	5	1	1029	0	102	0
CDU in Niedersachsen	CDU in Niedersachsen	109460782417586	Facebook	35_44	35-44	DE	Germany	1	1	1008	504	9	0
POST VON GEHRKE	Elmar Gehrke	630172117364339	Facebook	35_44	35-44	DE	Germany	1	1	996	199	19	0
MediaMarkt Papenburg Leer	MediaMarkt Papenburg Leer	188696547813120	Facebook	35_44	35-44	DE	Germany	1	1	892	178	17	0
Marie-Agnes Strack-Zimmermann	Marie-Agnes Strack-Zimmermann	782677895144628	Facebook	35_44	35-44	DE	Germany	2	1	876	142	30	0
BÜNDNIS 90/DIE GRÜNEN Magdeburg	BÜNDNIS 90/DIE GRÜNEN Magdeburg	83113756872	Facebook	35_44	35-44	DE	Germany	2	1	858	135	31	0
SPD Plauen	SPD Plauen	289178329438	Facebook	35_44	35-44	DE	Germany	4	1	822	31	69	0
FDP Rostock	FDP-Kreisverband Rostock	750220438339711	Facebook	35_44	35-44	DE	Germany	1	1	812	162	16	0
Social Media Ads	Alexander Dietrich	561953460655717	Facebook	35_44	35-44	DE	Germany	1	1	808	161	16	0
Adenauer Campus	Konrad-Adenauer-Stiftung	225123097665916	Facebook	35_44	35-44	DE	Germany	8	1	789	8	74	0
Jusos Püttlingen	Lars Klein	120694711361929	Facebook	35_44	35-44	DE	Germany	1	1	778	155	15	0
Grüne Kaiserslautern	Niko Markus	151451551553337	Facebook	35_44	35-44	DE	Germany	1	1	772	154	15	0
SPD BRANDENBURG	SPD BRANDENBURG	139470429458087	Facebook	35_44	35-44	DE	Germany	1	1	772	154	15	0
Alternative für Deutschland AfD - Koblenz - Ratsfraktion und Kreisverband	AfD Rheinland-Pfalz	334979833311527	Facebook	35_44	35-44	DE	Germany	5	1	765	0	75	0
FDP Bad Oeynhausen	FDP Bad Oeynhausen	304263959992118	Facebook	35_44	35-44	DE	Germany	1	1	756	151	14	0
Pascal Badziong	Pascal Badziong	1414539822143557	Facebook	35_44	35-44	DE	Germany	3	1	722	78	40	0
Delara Burkhardt	SPD Schleswig-Holstein	260587924600836	Facebook	35_44	35-44	DE	Germany	1	1	719	143	1	0
FDP Bad Hersfeld	FDP Bad Hersfeld	208377339290284	Facebook	35_44	35-44	DE	Germany	1	1	705	141	13	0
DIE LINKE. Klingenberg	Peter Kroh	567171803775108	Facebook	35_44	35-44	DE	Germany	4	1	703	0	69	0
BÜNDNIS 90/DIE GRÜNEN Kreisverband Mecklenburgische Seenplatte	Jutta Wegner 	157027537691135	Facebook	35_44	35-44	DE	Germany	3	1	699	0	69	0
BÜNDNIS 90/DIE GRÜNEN - Salzlandkreis	Andreas Gernegroß	235038956533510	Facebook	35_44	35-44	DE	Germany	4	1	689	0	68	0
FDP Karlsruhe-Stadt	FDP Kreisverband Karlsruhe-Stadt	342930772424635	Facebook	35_44	35-44	DE	Germany	3	1	672	94	29	0
SPD Remseck am Neckar	SPD Remseck a.N.	347490025813757	Facebook	35_44	35-44	DE	Germany	3	1	669	0	66	0
Demokratie in Bewegung	Demokratie in Bewegung	1799478453653006	Facebook	35_44	35-44	DE	Germany	1	1	666	133	13	0
Bündnis 90/Die Grünen Kreisverband Tübingen	Bündnis 90/Die Grünen Kreisverband Tübingen	516823841675813	Facebook	35_44	35-44	DE	Germany	1	1	666	133	13	0
AfD Ortsverband der großen Kreisstadt Neustadt bei Coburg	Michael Ernst Höpflinger	190646111623375	Facebook	35_44	35-44	DE	Germany	3	1	630	0	62	0
Tommy Penk	Tommy Penk	598572033486970	Facebook	35_44	35-44	DE	Germany	3	1	625	0	62	0
Bündnis 90/Die Grünen Dortmund	Bündnis 90/Die Grünen Kreisverband Dortmund	1760904514159207	Facebook	35_44	35-44	DE	Germany	1	1	619	123	12	0
FDP Kreisverband Bonn	FDP Kreisverband Bonn	215346935169485	Facebook	35_44	35-44	DE	Germany	2	1	592	116	12	0
DIE LINKE. Herne / Wanne-Eickel	Patrick Gawliczek	137962769704818	Facebook	35_44	35-44	DE	Germany	3	1	586	0	58	0
GRÜNE im Landkreis FREISING	Bündnis 90/Die Grünen Kreisverband Freising	419905770448	Facebook	35_44	35-44	DE	Germany	3	1	556	40	39	0
ÖDP Rems-Murr		166969103326187	Facebook	35_44	35-44	DE	Germany	2	1	552	0	54	0
Bündnis Grundeinkommen	Bündnis Grundeinkommen	548285578684618	Facebook	35_44	35-44	DE	Germany	2	1	517	81	18	0
VBE NRW	Verband Bildung und Erziehung NRW e.V.	337954219575798	Facebook	35_44	35-44	DE	Germany	2	1	505	0	50	0
Rainer Keller	Rainer Keller	2324783081132960	Facebook	35_44	35-44	DE	Germany	3	1	494	0	49	0
Bündnis 90/Die Grünen Anhalt-Bitterfeld	BÜNDNIS 90/DIE GRÜNEN Kreisverband Anhalt-Bitterfeld	409153932473503	Facebook	35_44	35-44	DE	Germany	2	1	458	0	45	0
CDU Mein Altensteig	CDU-Stadtverband Altensteig	2605830436157588	Facebook	35_44	35-44	DE	Germany	2	1	438	0	43	0
FDP Kreis Soest	Tim Philip Behrendt	703408639818094	Facebook	35_44	35-44	DE	Germany	1	1	426	85	8	0
Matthias Paul - Ihr Bürgermeisterkandidat für Burgdorf	Matthias Paul	587171618465873	Facebook	35_44	35-44	DE	Germany	2	1	410	0	40	0
