age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	CY	Cyprus	4	2	740	358	1	0
18_24	18-24	CY	Cyprus	30	16	93254	22248	428	2
25_34	25-34	CY	Cyprus	31	18	122468	37389	569	3
35_44	35-44	CY	Cyprus	31	18	109590	31728	548	2
45_54	45-54	CY	Cyprus	30	17	96133	26902	522	2
55_64	55-64	CY	Cyprus	28	17	84762	23381	424	1
65_	65+	CY	Cyprus	25	16	50233	14337	241	0
