country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ES	Spain	w020	Week 20	2019-05-13	2019-05-13	3180	166	4308349	1517732	52988	1988
ES	Spain	w019	Week 19	2019-05-06	2019-05-12	3983	293	34730062	12919541	340724	22287
ES	Spain	w018	Week 18	2019-04-29	2019-05-05	2908	292	18364120	6595249	152220	10980
ES	Spain	w017	Week 17	2019-04-22	2019-04-28	9050	419	247830852	98240117	1879984	302407
ES	Spain	w016	Week 16	2019-04-15	2019-04-21	6513	454	136968229	47454101	895063	97398
ES	Spain	w015	Week 15	2019-04-08	2019-04-14	2096	599	41094296	17195278	212906	39778
ES	Spain	w014	Week 14	2019-04-01	2019-04-07	1256	526	11168524	4474227	53595	6712
ES	Spain	w013	Week 13	2019-03-25	2019-03-31	1080	434	13720147	5760651	65053	9686
ES	Spain	w012	Week 12	2019-03-18	2019-03-24	1250	411	7893715	2890534	69230	3670
ES	Spain	w011	Week 11	2019-03-11	2019-03-17	751	301	10458762	3918248	59476	7518
ES	Spain	w010	Week 10	2019-03-04	2019-03-10	752	270	6816792	2639518	42924	1738
ES	Spain	w009	Week 9	2019-02-25	2019-03-03	282	114	2373560	957831	9259	657
ES	Spain	w008	Week 8	2019-02-18	2019-02-24	212	90	2651047	1164857	6269	770
ES	Spain	w007	Week 7	2019-02-11	2019-02-17	191	76	3758266	1597443	22487	7493
ES	Spain	w006	Week 6	2019-02-04	2019-02-10	172	63	1826746	666900	10177	1404
ES	Spain	w005	Week 5	2019-01-28	2019-02-03	191	60	2211022	911502	6729	642
ES	Spain	w004	Week 4	2019-01-21	2019-01-27	271	50	1735593	553330	17514	474
ES	Spain	w003	Week 3	2019-01-14	2019-01-20	137	49	816533	328915	3186	460
ES	Spain	w002	Week 2	2019-01-07	2019-01-13	106	41	349137	107692	2570	239
ES	Spain	w001	Week 1	2019-01-01	2019-01-06	96	38	456328	161191	2815	331
