advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
G4 Media		425074431631411	Facebook	braila_county	Brăila County	RO	Romania	3	1	223	86	0	0
Administraţie Liberală		2159559831039746	Facebook	braila_county	Brăila County	RO	Romania	2	1	201	100	0	0
Partidul Social Democrat-Departamentul pentru Infrastructura si Transport	Partidul Social Democrat	390855171647188	Facebook	braila_county	Brăila County	RO	Romania	1	1	200	100	0	0
Greenpeace Romania		291132089193	Facebook	braila_county	Brăila County	RO	Romania	31	1	195	74	0	0
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	braila_county	Brăila County	RO	Romania	2	1	194	77	0	0
Grupul sustinatorilor Antena 3		413428396067521	Facebook	braila_county	Brăila County	RO	Romania	4	1	191	87	0	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	braila_county	Brăila County	RO	Romania	49	1	189	85	0	0
Razvan Popa		128861244581738	Facebook	braila_county	Brăila County	RO	Romania	45	1	189	61	0	0
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	braila_county	Brăila County	RO	Romania	9	1	183	72	0	0
Partidul Mișcarea Populară	Partidul Mișcarea Populară	581911828514783	Facebook	braila_county	Brăila County	RO	Romania	9	1	171	67	0	0
Mircea Draghici		1149297625184695	Facebook	braila_county	Brăila County	RO	Romania	1	1	171	85	0	0
Departamentul pentru Educatie Nationala	 Partidul Social Democrat	2330908257186424	Facebook	braila_county	Brăila County	RO	Romania	2	1	163	81	0	0
Declic	Declic	686190454826244	Facebook	braila_county	Brăila County	RO	Romania	10	1	162	60	0	0
B1.tv		425911761553777	Facebook	braila_county	Brăila County	RO	Romania	3	1	155	58	0	0
PNL Prahova		148993498505135	Facebook	braila_county	Brăila County	RO	Romania	15	1	146	44	0	0
Norica Nicolai	Increase Digital	121265151226126	Facebook	braila_county	Brăila County	RO	Romania	14	1	137	27	0	0
Mihai Goţiu	Uniunea Salvați România	602280189818804	Facebook	braila_county	Brăila County	RO	Romania	13	1	136	28	0	0
România Politică		1719567741620517	Facebook	braila_county	Brăila County	RO	Romania	1	1	133	66	0	0
Departamentul pentru Tineret și Sport PSD	Partidul Social Democrat	2077524885664207	Facebook	braila_county	Brăila County	RO	Romania	4	1	128	63	0	0
Eugen Tomac	Partidul Mișcarea Populară	494469087244449	Facebook	braila_county	Brăila County	RO	Romania	8	1	127	42	0	0
Alexandru Kocsis		509479962851716	Facebook	braila_county	Brăila County	RO	Romania	3	1	121	54	0	0
PNL Bucuresti		678840505584990	Facebook	braila_county	Brăila County	RO	Romania	8	1	117	48	0	0
Naomi Reniuț-Ursoiu	Uniunea Salvați România	708334336169853	Facebook	braila_county	Brăila County	RO	Romania	22	1	116	26	0	0
undeunde.ro		2082223995356096	Facebook	braila_county	Brăila County	RO	Romania	3	1	114	22	0	0
Andrei Pop	Andrei Pop	522518014611632	Facebook	braila_county	Brăila County	RO	Romania	5	1	112	22	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	braila_county	Brăila County	RO	Romania	33	1	111	46	0	0
Parlamentul  Strazii		474855859349859	Facebook	braila_county	Brăila County	RO	Romania	2	1	101	20	0	0
Marian-Jean Marinescu		207673790490	Facebook	braila_county	Brăila County	RO	Romania	9	1	101	20	0	0
Greens/EFA in the European Parliament		150527751674751	Facebook	braila_county	Brăila County	RO	Romania	34	1	100	40	0	0
Nicu Ștefănuță	Uniunea Salvați România - USR	279454772645662	Facebook	braila_county	Brăila County	RO	Romania	14	1	100	36	0	0
Tikaboo Romania		617570241716349	Facebook	braila_county	Brăila County	RO	Romania	9	1	95	42	0	0
Cornel Radu Loghin	RADU-LOGHIN CORNEL	429437337859107	Facebook	braila_county	Brăila County	RO	Romania	5	1	89	26	0	0
PMP TV		958364000868431	Facebook	braila_county	Brăila County	RO	Romania	7	1	85	28	0	0
Raluca Turcan		360184320712594	Facebook	braila_county	Brăila County	RO	Romania	8	1	82	27	0	0
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	braila_county	Brăila County	RO	Romania	10	1	81	28	0	0
Schimbarea in politica		1376495612426388	Facebook	braila_county	Brăila County	RO	Romania	6	1	77	24	0	0
PNL Cluj		252950101538687	Facebook	braila_county	Brăila County	RO	Romania	22	1	76	22	0	0
Raluca Amariei	USR Sibiu	183087692172986	Facebook	braila_county	Brăila County	RO	Romania	2	1	74	37	0	0
Gabriel Petrea		636615956364844	Facebook	braila_county	Brăila County	RO	Romania	2	1	72	31	0	0
Enel Group		1818721128360253	Facebook	braila_county	Brăila County	RO	Romania	4	1	69	34	0	0
La Pensie		1092535407579725	Facebook	braila_county	Brăila County	RO	Romania	2	1	66	33	0	0
Dreapta Liberală - DL	Dreapta Liberala	1881461575305499	Facebook	braila_county	Brăila County	RO	Romania	4	1	60	24	0	0
Partidul Social Democrat - Departamentul pentru Sănătate	Partidul Social Democrat	330932571103970	Facebook	braila_county	Brăila County	RO	Romania	1	1	60	30	0	0
Dacian Cioloş	PLUS	107543802616247	Facebook	braila_county	Brăila County	RO	Romania	2	1	59	11	0	0
Paralela45		89625862971	Facebook	braila_county	Brăila County	RO	Romania	1	1	56	28	0	0
Ovidiu Raeţchi		1598476677090152	Facebook	braila_county	Brăila County	RO	Romania	4	1	56	23	0	0
Mioc George		130698810374423	Facebook	braila_county	Brăila County	RO	Romania	2	1	54	24	0	0
USR Constanța	Uniunea Salvați România filiala Constanta	698760586929790	Facebook	braila_county	Brăila County	RO	Romania	4	1	53	21	0	0
MH TIMES	MINCULEASA CLAUDIU-NICOLAE	559977200816313	Facebook	braila_county	Brăila County	RO	Romania	10	1	52	13	0	0
Carmen Avram		181221645364365	Facebook	braila_county	Brăila County	RO	Romania	2	1	52	10	0	0
Play by Play		104897406944750	Facebook	braila_county	Brăila County	RO	Romania	2	1	47	23	0	0
Stefan Radu Oprea		425051144215846	Facebook	braila_county	Brăila County	RO	Romania	1	1	47	9	0	0
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	braila_county	Brăila County	RO	Romania	9	1	45	10	0	0
Gaz De Romania		163950740830769	Facebook	braila_county	Brăila County	RO	Romania	7	1	45	8	0	0
Give A Vote		2186129244970085	Facebook	braila_county	Brăila County	RO	Romania	1	1	45	18	0	0
Ponturi Pariuri PRO		615300575244417	Facebook	braila_county	Brăila County	RO	Romania	2	1	43	20	0	0
Interzis la stânga		798375087197159	Facebook	braila_county	Brăila County	RO	Romania	1	1	43	21	0	0
Salvati Copiii Romania		106302366059916	Facebook	braila_county	Brăila County	RO	Romania	1	1	43	21	0	0
Libertatea.ro		419144368651944	Facebook	braila_county	Brăila County	RO	Romania	1	1	40	20	0	0
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	braila_county	Brăila County	RO	Romania	3	1	38	18	0	0
