advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	m	male	EE	Estonia	18	1	853594	304362	2985	506
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	m	male	EE	Estonia	29	1	799553	319433	2868	382
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	m	male	EE	Estonia	91	1	724625	180863	4805	54
Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	m	male	EE	Estonia	8	1	714746	331896	1347	363
European Parliament		178362315106	Facebook	m	male	EE	Estonia	23	1	698727	290820	7178	1774
Isamaa erakond	Isamaa erakond	321163977576	Facebook	m	male	EE	Estonia	10	1	593730	251585	2353	715
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	m	male	EE	Estonia	28	1	459324	161378	2503	252
Veriff		959442754113350	Facebook	m	male	EE	Estonia	3	1	398577	176115	679	136
Urmas Paet	Paet Urmas	223092011815453	Facebook	m	male	EE	Estonia	38	1	375054	82084	1709	26
Kialo		729627343834501	Facebook	m	male	EE	Estonia	355	1	310552	118430	2049	494
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	m	male	EE	Estonia	40	1	261232	65230	3004	298
Jaak Madison	Madison Jaak	536519246456733	Facebook	m	male	EE	Estonia	11	1	184234	39566	1081	122
Triin Saag	Saag Triin	2012394932389774	Facebook	m	male	EE	Estonia	32	1	137622	41644	1708	0
European Greens	European Greens	141366725876424	Facebook	m	male	EE	Estonia	10	1	87415	30459	304	46
Keskerakond	Keskerakond	161252453921396	Facebook	m	male	EE	Estonia	10	1	84078	20469	408	0
Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	m	male	EE	Estonia	37	1	81649	17893	1644	72
Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	m	male	EE	Estonia	9	1	63682	13919	437	0
Riho Terras		2217643278496367	Facebook	m	male	EE	Estonia	3	1	55496	12892	393	59
Rimi Eesti		217485440760	Facebook	m	male	EE	Estonia	1	1	49301	24650	246	49
Yoko Alender		709212302463805	Facebook	m	male	EE	Estonia	25	1	43717	14207	869	0
MTÜ Eesti Tuumajaam		153182254702931	Facebook	m	male	EE	Estonia	1	1	42226	8445	83	0
Civil Liberties Union for Europe		1424938757739868	Facebook	m	male	EE	Estonia	1	1	37516	7503	74	0
Pepe Mardiste		1436271733110292	Facebook	m	male	EE	Estonia	1	1	37451	7490	65	0
Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	m	male	EE	Estonia	3	1	36026	8127	196	25
EMY		815299865514464	Facebook	m	male	EE	Estonia	2	1	34639	6928	121	0
