spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	HR	Croatia	European Parliament		178362315106	Facebook	35	1	5181508	2342388	12824	3098
0_1k	0 - 1k	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	61	1	3358933	1319998	6996	378
0_1k	0 - 1k	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	52	1	1960699	507892	6093	622
0_1k	0 - 1k	HR	Croatia	Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	26	1	1929974	669000	4071	445
0_1k	0 - 1k	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	41	1	1618959	554000	5393	445
0_1k	0 - 1k	HR	Croatia	Ruža Tomašić		1434305366791182	Facebook	38	1	1368487	360704	3615	0
0_1k	0 - 1k	HR	Croatia	Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	19	1	1335517	489801	2505	177
0_1k	0 - 1k	HR	Croatia	pametno.org	pametno.org	144815235686385	Facebook	27	1	1319513	426869	2778	88
0_1k	0 - 1k	HR	Croatia	Kialo		729627343834501	Facebook	317	1	1268962	516633	5077	1304
0_1k	0 - 1k	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	74	1	1239926	317000	7203	89
0_1k	0 - 1k	HR	Croatia	Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	17	1	1069051	339622	2262	177
0_1k	0 - 1k	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	19	1	876981	241000	2742	267
0_1k	0 - 1k	HR	Croatia	European Greens	European Greens	141366725876424	Facebook	10	1	835919	367833	2145	742
0_1k	0 - 1k	HR	Croatia	GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	10	1	815989	265999	1237	89
0_1k	0 - 1k	HR	Croatia	Zoran Bahtijarević		2195720960680577	Facebook	4	1	549841	259922	1595	299
0_1k	0 - 1k	HR	Croatia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	45	1	507735	234004	947	298
0_1k	0 - 1k	HR	Croatia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25	1	465413	157670	1315	97
0_1k	0 - 1k	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	14	1	465009	194511	1976	177
0_1k	0 - 1k	HR	Croatia	Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	7	1	454993	151000	1016	89
0_1k	0 - 1k	HR	Croatia	Eclectica		1379977375431894	Facebook	1	1	415981	207991	1851	370
0_1k	0 - 1k	HR	Croatia	Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	15	1	404985	90000	1332	0
0_1k	0 - 1k	HR	Croatia	Electrolux Hrvatska		1229501663771543	Facebook	3	1	399997	200000	297	0
0_1k	0 - 1k	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	15	1	356980	82999	2597	299
0_1k	0 - 1k	HR	Croatia	Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	10	1	332989	131999	1237	89
0_1k	0 - 1k	HR	Croatia	Nova ljevica	Markovina Dragan	706769699498076	Facebook	14	1	229985	60999	1233	0
