impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
10k_50k	10k - 50k	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	100	1	4999900	1000000	19466	4546
10k_50k	10k - 50k	CZ	Czechia	HLAS	První prezidentská	320144481956623	Facebook	48	1	2399952	480000	3126	893
10k_50k	10k - 50k	CZ	Czechia	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	43	1	2149936	429995	993	303
10k_50k	10k - 50k	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	32	1	1599964	319999	6216	1243
10k_50k	10k - 50k	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	29	1	1449971	290000	3185	742
10k_50k	10k - 50k	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	24	1	1199918	239988	2375	0
10k_50k	10k - 50k	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	22	1	1099970	219998	3982	936
10k_50k	10k - 50k	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	19	1	949966	189997	3904	1014
10k_50k	10k - 50k	CZ	Czechia	Evropa společně	Evropa společně	535611970260854	Facebook	16	1	799984	160000	2202	361
10k_50k	10k - 50k	CZ	Czechia	Roman Kriz	Kriz Roman	382745889213194	Facebook	12	1	599988	120000	1864	408
10k_50k	10k - 50k	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	11	1	549989	110000	1009	260
10k_50k	10k - 50k	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	11	1	549982	109998	1340	314
10k_50k	10k - 50k	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	9	1	449991	90000	1437	310
10k_50k	10k - 50k	CZ	Czechia	Jan Zahradil		400970967000022	Facebook	9	1	449991	90000	1748	349
10k_50k	10k - 50k	CZ	Czechia	Ing. Jaromír Kohlíček, CSc.	Kohlicek Jaromir	162310277268109	Facebook	8	1	399991	80000	1748	466
10k_50k	10k - 50k	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	8	1	399985	79998	757	198
10k_50k	10k - 50k	CZ	Czechia	Kialo		729627343834501	Facebook	178	1	374050	74811	2789	532
10k_50k	10k - 50k	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	7	1	349931	69987	893	213
10k_50k	10k - 50k	CZ	Czechia	Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	7	1	349467	69894	716	178
10k_50k	10k - 50k	CZ	Czechia	European Parliament		178362315106	Facebook	8	1	300666	60134	595	0
10k_50k	10k - 50k	CZ	Czechia	Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	6	1	299994	60000	699	174
10k_50k	10k - 50k	CZ	Czechia	Humans of Piráti	Česká pirátská strana	1036986463173677	Facebook	6	1	299994	60000	1165	233
10k_50k	10k - 50k	CZ	Czechia	Martin Hrubčík		253207085584079	Facebook	6	1	299994	60000	679	159
10k_50k	10k - 50k	CZ	Czechia	Marek Ženíšek	TOP 09	523450094407778	Facebook	5	1	249995	49999	815	174
10k_50k	10k - 50k	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	5	1	249995	50000	815	174
