advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR Prahova	USR Prahova	1385405838141456	Facebook	100_1k	100 - 1k	RO	Romania	15	1	413992	151173	892	241
Greenpeace Romania	Greenpeace Romania	291132089193	Facebook	100_1k	100 - 1k	RO	Romania	7	1	407301	135008	855	171
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	100_1k	100 - 1k	RO	Romania	19	1	386118	81411	926	185
PNL Bucuresti	Rus Alexandra	678840505584990	Facebook	100_1k	100 - 1k	RO	Romania	13	1	383775	122108	795	222
Raluca Amariei	USR Sibiu	183087692172986	Facebook	100_1k	100 - 1k	RO	Romania	7	1	380421	168234	2204	567
USR Constanța	Uniunea Salvați România filiala Constanta	698760586929790	Facebook	100_1k	100 - 1k	RO	Romania	2	1	374833	160643	1124	225
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	100_1k	100 - 1k	RO	Romania	5	1	360779	125704	757	151
USR Argeș	Uniunea Salvati Romania	987000488084806	Facebook	100_1k	100 - 1k	RO	Romania	12	1	348906	111652	585	117
George Simion	George Simion	2212856535602171	Facebook	100_1k	100 - 1k	RO	Romania	9	1	330372	113556	1274	381
Adrian-Claudiu Prisnel	Uniunea Salvați Romania	259825811088447	Facebook	100_1k	100 - 1k	RO	Romania	6	1	330351	128199	1803	549
ALDE BACĂU - Partidul Alianța Liberalilor și Democraților	Partidul Alianța Liberalilor și Democraților - ALDE	535445976897124	Facebook	100_1k	100 - 1k	RO	Romania	4	1	323238	124648	678	324
Adrian Mocanu	Mocanu Adrian	1750234035208501	Facebook	100_1k	100 - 1k	RO	Romania	6	1	316300	137217	614	249
Pavel Emilian		1557836147771248	Facebook	100_1k	100 - 1k	RO	Romania	9	1	309342	105826	600	183
Aresel		292847028010932	Facebook	100_1k	100 - 1k	RO	Romania	2	1	299998	150000	998	200
