spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	RO	Romania	1387	263	9257961	2484740	19500	495
50_100	50 - 100	RO	Romania	732	184	19859762	6228690	34814	6965
100_1k	100 - 1k	RO	Romania	1017	206	75663801	31655109	148505	42597
1k_5k	1k - 5k	RO	Romania	132	49	34196310	16163795	102000	27337
