advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	m	male	4999	1	6378422	1102137	240774	0
European Parliament	European Parliament	178362315106	Facebook	m	male	39	1	3214691	1408957	19588	6099
Gouvernement	Gouvernement	392341217527576	Facebook	m	male	30	1	2999781	1223045	5185	1176
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	m	male	21	1	2768891	1253475	8390	2428
Fidesz	Fidesz	9844779306	Facebook	m	male	18	1	1612052	731431	7059	3139
Avaaz	Avaaz	8340223883	Facebook	m	male	10	1	1529539	609205	2513	624
FDP	FDP	21289227249	Facebook	m	male	550	1	1462092	227533	46215	248
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m	male	65	1	1215380	492326	2876	942
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	m	male	19	1	1010070	383300	3231	897
INBOX	New Digital Media	369693523475596	Facebook	m	male	15	1	1006547	433480	1393	125
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m	male	831	1	978834	169585	34856	94
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	9	1	965121	459484	13674	4559
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	m	male	37	1	962763	344948	3329	321
Conservatives	The Conservative Party	8807334278	Facebook	m	male	728	1	915218	145568	43106	138
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m	male	1	1	827925	413963	413	82
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	m	male	36	1	827078	186451	10702	2200
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	m	male	5	1	706925	297789	1741	377
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	m	male	5	1	643167	271189	1333	266
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	m	male	3	1	638627	319314	3501	886
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m	male	21	1	624662	263879	12023	2457
The Labour Party	The Labour Party	25749647410	Facebook	m	male	10	1	587776	255994	4813	1479
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	m	male	4	1	550547	241283	1264	632
Οι Έλληνες	In Progress	2273336566260671	Facebook	m	male	2	1	537410	231989	1583	792
European Commission	European Commission	107898832590939	Facebook	m	male	3	1	510120	223974	807	161
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	251	1	469473	108547	17002	0
