gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	14377	1917	71711143	22646071	872959	52840
m	male	14093	1895	76648520	24316648	902171	57624
u	unknown	8790	1699	688018	226280	8197	686
