advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	25_34	25-34	IE	Ireland	64	1	2091424	897129	15078	2754
Referendum Commission		580832208630212	Facebook	25_34	25-34	IE	Ireland	24	1	2059544	916984	15126	3167
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	25_34	25-34	IE	Ireland	148	1	1618857	498001	8098	1120
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	25_34	25-34	IE	Ireland	3	1	474470	237235	2289	458
Kialo		729627343834501	Facebook	25_34	25-34	IE	Ireland	340	1	419085	180766	2439	664
Fianna Fáil	Fianna Fáil	222629035132	Facebook	25_34	25-34	IE	Ireland	32	1	282021	83821	946	24
European Greens		141366725876424	Facebook	25_34	25-34	IE	Ireland	7	1	228349	114175	1989	618
Labour Party		164027949687	Facebook	25_34	25-34	IE	Ireland	6	1	224118	112060	984	197
Fine Gael		264172043210	Facebook	25_34	25-34	IE	Ireland	3	1	148903	64254	448	213
Guy Verhofstadt		99985820015	Facebook	25_34	25-34	IE	Ireland	2	1	139463	52364	278	122
Paddy Power		108803784913	Facebook	25_34	25-34	IE	Ireland	4	1	134758	55761	1254	250
Matt Carthy	Carthy Matt	580216935345125	Facebook	25_34	25-34	IE	Ireland	18	1	107134	34706	662	99
Sean Kelly MEP		340786422717552	Facebook	25_34	25-34	IE	Ireland	45	1	100362	29881	947	69
Alice Mary Higgins for Europe	Alice Mary Higgins	1055105841226515	Facebook	25_34	25-34	IE	Ireland	19	1	95738	21290	497	17
Pro Life Campaign Ireland		224615650378	Facebook	25_34	25-34	IE	Ireland	3	1	95648	43846	398	79
Department of Foreign Affairs and Trade		449282445418073	Facebook	25_34	25-34	IE	Ireland	1	1	95448	38179	954	190
Cllr. Éilis Ryan for Europe		787376334669425	Facebook	25_34	25-34	IE	Ireland	15	1	91932	27930	504	28
Students for Life Ireland		252011928285955	Facebook	25_34	25-34	IE	Ireland	7	1	81742	16307	475	73
EPP - European People's Party		48034275355	Facebook	25_34	25-34	IE	Ireland	12	1	57340	24969	421	98
Lynn Boylan MEP - Fighting for Dublin in Europe		406454202814957	Facebook	25_34	25-34	IE	Ireland	6	1	57151	20581	378	64
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	25_34	25-34	IE	Ireland	4	1	56948	25030	257	43
Humble Household		1746853745395190	Facebook	25_34	25-34	IE	Ireland	43	1	54941	21687	412	89
Million Dollar Vegan	Million Dollar Vegan	554024238384285	Facebook	25_34	25-34	IE	Ireland	17	1	51049	15308	470	79
Orla Kelly	Orla Kelly	284729489119670	Facebook	25_34	25-34	IE	Ireland	5	1	50976	10987	155	0
Alex White		58389344622	Facebook	25_34	25-34	IE	Ireland	3	1	49781	24504	244	48
