advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
People's Vote UK	People's Vote	748608695327755	Facebook	u	unknown	3156	1	1474315	515620	23422	4209
Britain's Future	Britain's Future	1625300137516491	Facebook	u	unknown	3997	1	1165461	348703	14182	1994
European Parliament		178362315106	Facebook	u	unknown	1446	1	859720	374071	5288	1297
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	u	unknown	2135	1	843518	274526	10982	1037
Kialo		729627343834501	Facebook	u	unknown	688	1	841862	334947	6309	1584
Best For Britain	Best for Britain	1863944713844924	Facebook	u	unknown	740	1	604252	254330	8216	1956
Podemos	Unidas Podemos	269212336568846	Facebook	u	unknown	295	1	471288	212524	2904	766
38 Degrees	38 Degrees	200006375787	Facebook	u	unknown	600	1	451853	163855	3124	456
The Labour Party	The Labour Party	25749647410	Facebook	u	unknown	601	1	413374	157244	3753	755
Conservatives	The Conservative Party	8807334278	Facebook	u	unknown	1212	1	406130	153914	5358	720
Ciudadanos	Ciudadanos	74078667754	Facebook	u	unknown	3502	1	363706	111241	3686	274
We are the 52%	We are the 52%	466744973727718	Facebook	u	unknown	278	1	317626	116607	893	119
Greenpeace France		39435457457	Facebook	u	unknown	115	1	281898	124863	1385	322
Sosialidemokraatit SDP		108945982480217	Facebook	u	unknown	251	1	250080	99240	1494	332
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	u	unknown	512	1	247274	88555	3460	585
Partido Popular	Partido Popular	72249031214	Facebook	u	unknown	1503	1	214791	82543	1314	199
Plan International Sverige		382243262003	Facebook	u	unknown	284	1	205483	65798	1750	413
Change UK - The Independent Group	The Independent Group (TIG) Ltd, company number 11770529, a registered company in England and Wales.	395151614382309	Facebook	u	unknown	220	1	165067	63802	3188	676
Right To Vote	Right to Vote	408236463256774	Facebook	u	unknown	350	1	153600	39043	1333	192
Médecins du Monde France		265420476920	Facebook	u	unknown	655	1	137064	42967	2258	159
The Brexit Party	The Brexit Party	230416667843105	Facebook	u	unknown	53	1	133758	60893	1584	402
Amnesty International UK		7624294394	Facebook	u	unknown	83	1	131513	57276	1296	422
Scientists for EU	Scientists for EU	642444842524195	Facebook	u	unknown	62	1	127065	41105	856	144
European Greens		141366725876424	Facebook	u	unknown	45	1	116458	51934	890	224
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	u	unknown	128	1	113243	40027	765	163
