gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	154374	21466	1968799437	715387708	15317297	2172404
m	male	148675	20966	2089009720	759714161	15429666	2148976
u	unknown	118133	19194	27367215	9560125	268212	39285
