country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IT	Italy	w020	Week 20	2019-05-13	2019-05-15	3259	678	47573530	17420185	253901	25863
IT	Italy	w019	Week 19	2019-05-06	2019-05-12	4191	849	88244494	32167627	438773	51606
IT	Italy	w018	Week 18	2019-04-29	2019-05-05	3039	871	51429935	18745133	262157	31891
IT	Italy	w017	Week 17	2019-04-22	2019-04-28	2033	797	25921936	9696468	114251	14665
IT	Italy	w016	Week 16	2019-04-15	2019-04-21	2043	994	17245314	6094795	104387	8768
IT	Italy	w015	Week 15	2019-04-08	2019-04-14	2960	1456	33851799	12093730	192219	18504
IT	Italy	w014	Week 14	2019-04-01	2019-04-07	2600	1356	29652978	10243261	158022	14281
IT	Italy	w013	Week 13	2019-03-25	2019-03-31	2268	1148	29839914	11076291	145861	13656
IT	Italy	w012	Week 12	2019-03-18	2019-03-24	2253	1143	27033695	9593480	139189	11317
IT	Italy	w011	Week 11	2019-03-11	2019-03-17	1897	1034	24673676	8996185	134370	11043
IT	Italy	w010	Week 10	2019-03-04	2019-03-10	1409	779	20570475	7185109	98333	8073
IT	Italy	w009	Week 9	2019-02-25	2019-03-03	757	392	13831271	5324399	65513	8340
IT	Italy	w008	Week 8	2019-02-18	2019-02-24	398	169	4994230	2019561	24977	3367
IT	Italy	w007	Week 7	2019-02-11	2019-02-17	391	143	4700854	1791500	35492	4115
IT	Italy	w006	Week 6	2019-02-04	2019-02-10	299	122	3881759	1381318	23803	2970
IT	Italy	w005	Week 5	2019-01-28	2019-02-03	268	105	1387417	487515	8112	379
IT	Italy	w004	Week 4	2019-01-21	2019-01-27	294	94	3113974	1203296	16950	1312
IT	Italy	w003	Week 3	2019-01-14	2019-01-20	262	90	2446033	914256	17941	1970
IT	Italy	w002	Week 2	2019-01-07	2019-01-13	259	80	2718186	861072	19699	1707
IT	Italy	w001	Week 1	2019-01-01	2019-01-06	212	66	2199902	771579	13047	970
