platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	FI	Finland	Sosialidemokraatit SDP		108945982480217	Facebook	312	1	22345695	8689521	144356	31892
f	Facebook	FI	Finland	European Parliament		178362315106	Facebook	82	1	10544174	4870339	84052	30505
f	Facebook	FI	Finland	Vihreät - De Gröna		33722070600	Facebook	34	1	2106137	819625	9160	1999
f	Facebook	FI	Finland	Kokoomus	Kokoomus	201285237101	Facebook	339	1	1344660	265000	39560	1499
f	Facebook	FI	Finland	Keskusta	Suomen Keskusta	55312855747	Facebook	33	1	1273559	311317	5608	599
f	Facebook	FI	Finland	WWF Suomi		119054448115588	Facebook	7	1	949886	459952	3992	1099
f	Facebook	FI	Finland	Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	34	1	787981	241002	8172	1534
f	Facebook	FI	Finland	Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	14	1	779711	284911	7083	1699
f	Facebook	FI	Finland	Oatly		585888148224935	Facebook	3	1	749929	309966	5596	1099
f	Facebook	FI	Finland	Kaisa Penny		259256970891807	Facebook	40	1	747756	252954	5556	399
f	Facebook	FI	Finland	Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	14	1	660904	164980	10706	2391
f	Facebook	FI	Finland	K-Supermarket		380462231997295	Facebook	6	1	649993	279999	12493	2799
f	Facebook	FI	Finland	Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	289	1	614711	87000	28611	0
f	Facebook	FI	Finland	Viite - Tieteen ja teknologian vihreät		73631194779	Facebook	6	1	524750	204902	993	99
f	Facebook	FI	Finland	Piia Kurki	Piia Kurki	270567833058986	Facebook	28	1	523711	127927	5167	599
f	Facebook	FI	Finland	Veli Paasimaa eduskuntaan		2500363800014955	Facebook	6	1	508994	201000	5493	1000
f	Facebook	FI	Finland	Neste		1083597725003936	Facebook	1	1	499999	200000	4999	1000
f	Facebook	FI	Finland	Mikkel Näkkäläjärvi		617733068345315	Facebook	73	1	487922	113999	7626	99
f	Facebook	FI	Finland	Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	32	1	440953	96997	5167	499
f	Facebook	FI	Finland	Greenpeace Suomi	Greenpeace Suomi	9227859351	Facebook	22	1	421977	98000	4488	599
f	Facebook	FI	Finland	Kialo		729627343834501	Facebook	336	1	411181	162821	3016	837
f	Facebook	FI	Finland	Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	39	1	406961	159000	4261	100
f	Facebook	FI	Finland	Antton Rönnholm	Rekilä Piia Annikki	575908612596562	Facebook	26	1	405222	124999	4499	499
f	Facebook	FI	Finland	Camilla Gunell till EU 2019		360575481205047	Facebook	18	1	398850	84973	3381	400
f	Facebook	FI	Finland	XAMK - Kaakkois-Suomen ammattikorkeakoulu		1713318895550712	Facebook	29	1	396968	148998	3270	99
