advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	d101	2019-04-11	91	1	9685767	965441	43618	828
Future Innovation SRL		AR474748779908562944	Google	d101	2019-04-11	2	1	1969696	196969	5909	98
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	d101	2019-04-11	125	1	1902942	189028	327	0
HEADS, s.r.o.		AR356967719951663104	Google	d101	2019-04-11	16	1	1878529	187800	4066	80
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d101	2019-04-11	47	1	1071647	106298	297	18
Arnora Oy		AR181544213152792576	Google	d101	2019-04-11	1	1	909090	90909	45	4
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	d101	2019-04-11	54	1	799092	76407	301	9
Suomen Keskusta r.p.		AR441112520191639552	Google	d101	2019-04-11	25	1	787449	78300	12483	229
SOCIALDEMOKRATIET		AR271193993235136512	Google	d101	2019-04-11	10	1	707326	70732	23296	388
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	d101	2019-04-11	49	1	594999	56535	20376	392
HLAS		AR312619193323225088	Google	d101	2019-04-11	223	1	552459	33301	2329	49
COALICION CANARIA		AR489541609348661248	Google	d101	2019-04-11	137	1	541647	30000	1289	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	d101	2019-04-11	25	1	427690	39351	1441	32
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d101	2019-04-11	24	1	420000	37500	637	37
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	d101	2019-04-11	2	1	310784	31078	1382	23
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	d101	2019-04-11	17	1	265154	25555	339	26
Rumilus Design Oy		AR391102333313875968	Google	d101	2019-04-11	31	1	238134	22532	101	0
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	d101	2019-04-11	16	1	224705	21764	8044	155
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	d101	2019-04-11	62	1	190237	18129	2649	51
Jukka Kopra		AR232680299937398784	Google	d101	2019-04-11	12	1	189265	18553	7904	138
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	d101	2019-04-11	4	1	171071	16964	91	7
Fondation Populaire		AR320938922932699136	Google	d101	2019-04-11	11	1	171024	17065	3113	62
Alternativet		AR198061076825243648	Google	d101	2019-04-11	1	1	166666	16666	83	8
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	d101	2019-04-11	11	1	137084	13494	2732	73
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	d101	2019-04-11	14	1	134585	10637	7831	204
