advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	d116	2019-04-26	31	1	110014444	11001111	287572	34005
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	d116	2019-04-26	219	1	23239472	2311358	166845	3267
Future Innovation SRL		AR474748779908562944	Google	d116	2019-04-26	24	1	10121477	1011879	14454	259
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	d116	2019-04-26	42	1	7262736	726273	16064	289
COALICION CANARIA		AR489541609348661248	Google	d116	2019-04-26	2693	1	6127281	171568	25524	116
Freiheitliche Partei Österreich		AR333020356698701824	Google	d116	2019-04-26	40	1	4445356	443950	31962	4698
AMERISOFT SRL		AR573801583431647232	Google	d116	2019-04-26	45	1	3296191	326917	374	16
Partido Animalista PACMA		AR145115193901318144	Google	d116	2019-04-26	4	1	2583333	258333	14222	241
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	d116	2019-04-26	268	1	2334995	211825	3241	101
HEADS, s.r.o.		AR356967719951663104	Google	d116	2019-04-26	15	1	1871386	187086	4063	80
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	d116	2019-04-26	13	1	1662093	166042	6928	145
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	d116	2019-04-26	110	1	1613333	160333	24059	555
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	d116	2019-04-26	53	1	1607902	159742	14733	276
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d116	2019-04-26	39	1	1269867	126411	6895	131
Liberal Alliance		AR183859784640888832	Google	d116	2019-04-26	87	1	1125297	105625	23545	606
CDA Doetinchem		AR453512812329697280	Google	d116	2019-04-26	35	1	1103973	109622	174	8
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	d116	2019-04-26	28	1	959230	95769	105	5
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d116	2019-04-26	49	1	841809	78714	396	10
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	d116	2019-04-26	7	1	781250	78125	1953	39
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	d116	2019-04-26	6	1	778333	77500	2070	33
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	d116	2019-04-26	44	1	776685	76407	189	9
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	d116	2019-04-26	92	1	720833	70416	679	54
HLAS		AR312619193323225088	Google	d116	2019-04-26	383	1	582026	24970	2670	32
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	d116	2019-04-26	23	1	426238	41964	270	21
UAB "BPN LT"		AR135010682042056704	Google	d116	2019-04-26	32	1	382239	38223	191	11
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	d116	2019-04-26	20	1	360888	36008	202	18
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	d116	2019-04-26	31	1	358443	34860	3481	79
Cink, s.r.o.		AR361287976015101952	Google	d116	2019-04-26	26	1	346662	34333	159	12
Alternativet		AR198061076825243648	Google	d116	2019-04-26	2	1	325000	32500	162	16
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	d116	2019-04-26	73	1	193699	18129	2667	51
Flamesite s.r.o.		AR522320249995919360	Google	d116	2019-04-26	107	1	164492	12900	354	14
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	d116	2019-04-26	6	1	135000	13166	435	39
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	d116	2019-04-26	1	1	111111	11111	5	0
Párbeszéd Magyarországért		AR567356246269624320	Google	d116	2019-04-26	5	1	89863	8940	86	8
