advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	d129	2019-05-09	17	1	18423329	1842332	36606	610
Future Innovation SRL		AR474748779908562944	Google	d129	2019-05-09	28	1	18164962	1816496	37691	670
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	d129	2019-05-09	75	1	15076952	1507695	30551	586
AMERISOFT SRL		AR573801583431647232	Google	d129	2019-05-09	99	1	9368816	936000	5856	150
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	d129	2019-05-09	78	1	9036775	900946	33793	1907
Det Konservative Folkeparti		AR40969452518375424	Google	d129	2019-05-09	253	1	6518174	632136	29043	614
CDU Christlich Demokratische Union		AR68737343799951360	Google	d129	2019-05-09	2420	1	6281642	361250	54358	4356
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	d129	2019-05-09	31	1	6237499	623500	5609	137
SOCIALDEMOKRATIET		AR271193993235136512	Google	d129	2019-05-09	57	1	5346866	534609	104357	1824
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	d129	2019-05-09	178	1	4883630	471845	10709	307
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	d129	2019-05-09	153	1	3581243	351259	47070	1083
Popolari per l'Italia		AR406403961759727616	Google	d129	2019-05-09	5	1	3553113	355311	6120	108
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	d129	2019-05-09	27	1	3252896	324705	2143	61
Open Vld		AR369049153717665792	Google	d129	2019-05-09	132	1	3226825	312123	14534	537
Freiheitliche Partei Österreich		AR333020356698701824	Google	d129	2019-05-09	33	1	2858627	285378	19009	331
NEA DEMOKRATIA		AR351183464155840512	Google	d129	2019-05-09	3	1	2752500	275000	7637	137
Slovenska demokratska stranka		AR170068335415787520	Google	d129	2019-05-09	40	1	2485144	247681	3780	118
Párbeszéd Magyarországért		AR567356246269624320	Google	d129	2019-05-09	14	1	2334585	232996	6783	119
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	d129	2019-05-09	1766	1	2221353	121040	5866	58
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	d129	2019-05-09	7	1	1836392	183528	23143	396
Mediabrands Digital OÜ		AR530356305605427200	Google	d129	2019-05-09	331	1	1768946	155858	1749	11
COALICION CANARIA		AR489541609348661248	Google	d129	2019-05-09	592	1	1531985	51919	5323	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d129	2019-05-09	45	1	1488839	148225	13097	241
Pametno		AR222880077921124352	Google	d129	2019-05-09	42	1	1422500	141666	475	33
Sloboda a Solidarita		AR242125929453715456	Google	d129	2019-05-09	34	1	1321346	130384	1085	97
