advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	d124	2019-05-04	134	1	14772149	1474334	1406	87
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	d124	2019-05-04	72	1	14643618	1464361	22088	447
Future Innovation SRL		AR474748779908562944	Google	d124	2019-05-04	20	1	14549724	1454972	24436	416
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	d124	2019-05-04	75	1	9026356	901086	31122	1873
CDU Christlich Demokratische Union		AR68737343799951360	Google	d124	2019-05-04	2554	1	7669285	361250	61296	4356
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	d124	2019-05-04	22	1	5897047	587204	69616	1199
Občanska demokraticka strana		AR386241117529571328	Google	d124	2019-05-04	31	1	4487440	433333	10080	214
Popolari per l'Italia		AR406403961759727616	Google	d124	2019-05-04	5	1	3553113	355311	6120	108
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	d124	2019-05-04	48	1	3451058	334705	2684	61
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d124	2019-05-04	50	1	3058200	304745	9662	272
Freiheitliche Partei Österreich		AR333020356698701824	Google	d124	2019-05-04	37	1	2859642	285378	19034	334
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	d124	2019-05-04	302	1	2453910	218376	4133	156
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	d124	2019-05-04	1446	1	2130809	132750	4924	54
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	d124	2019-05-04	107	1	2050166	193999	1550	69
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	d124	2019-05-04	56	1	1760906	174860	31596	580
Alternativet		AR198061076825243648	Google	d124	2019-05-04	3	1	1585714	158571	8642	150
mmb media agentur d.o.o.		AR524572049809604608	Google	d124	2019-05-04	636	1	1442333	59047	4354	0
CDA Doetinchem		AR453512812329697280	Google	d124	2019-05-04	29	1	1088862	108622	144	8
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	d124	2019-05-04	28	1	959230	95769	105	5
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	d124	2019-05-04	8	1	840073	84007	3717	68
SPD		AR456734381399080960	Google	d124	2019-05-04	27	1	727606	72618	38719	2272
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	d124	2019-05-04	59	1	675875	65109	320	10
Párbeszéd Magyarországért		AR567356246269624320	Google	d124	2019-05-04	8	1	654585	65329	1761	36
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	d124	2019-05-04	2	1	585139	58513	3343	55
Open Vld		AR369049153717665792	Google	d124	2019-05-04	33	1	565992	55456	734	58
