advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		AR345426421272805376	Google	d133	2019-05-13	332	1	30820000	3025000	411925	9500
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	d133	2019-05-13	23	1	21970948	2197094	66499	1114
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	d133	2019-05-13	76	1	15210285	1521028	31173	593
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	d133	2019-05-13	85	1	12664442	1264280	48388	2181
Future Innovation SRL		AR474748779908562944	Google	d133	2019-05-13	24	1	11521946	1152194	28661	509
AMERISOFT SRL		AR573801583431647232	Google	d133	2019-05-13	77	1	9260541	925541	5817	150
SOCIALDEMOKRATIET		AR271193993235136512	Google	d133	2019-05-13	112	1	7349263	733295	85355	1678
Det Konservative Folkeparti		AR40969452518375424	Google	d133	2019-05-13	293	1	6594095	632136	29423	614
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	d133	2019-05-13	36	1	6566190	650833	21691	504
Freiheitliche Partei Österreich		AR333020356698701824	Google	d133	2019-05-13	33	1	6474038	646795	32274	564
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	d133	2019-05-13	31	1	6237499	623500	5609	137
Sloboda a Solidarita		AR242125929453715456	Google	d133	2019-05-13	191	1	5897707	573079	12966	415
NEA DEMOKRATIA		AR351183464155840512	Google	d133	2019-05-13	24	1	5780952	577952	44120	809
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	d133	2019-05-13	31	1	4871043	485901	14232	284
Open Vld		AR369049153717665792	Google	d133	2019-05-13	553	1	4471250	402500	21862	631
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	d133	2019-05-13	27	1	3351467	334705	2186	66
SPOLU - občianska demokracia		AR194838133366325248	Google	d133	2019-05-13	54	1	3178873	312857	35427	662
NEW GEN PUBLISHING SRL		AR55967615754960896	Google	d133	2019-05-13	19	1	2971666	296666	683	58
Slovenska demokratska stranka		AR170068335415787520	Google	d133	2019-05-13	44	1	2910144	290181	3902	130
Partido Popular Regional De Canarias		AR288284801977286656	Google	d133	2019-05-13	141	1	2799285	270535	1597	91
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d133	2019-05-13	48	1	2788251	278225	19194	351
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	d133	2019-05-13	5	1	2705440	270432	18018	300
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	d133	2019-05-13	1821	1	2460982	137913	7064	142
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	d133	2019-05-13	162	1	2354616	228263	47445	1119
Párbeszéd Magyarországért		AR567356246269624320	Google	d133	2019-05-13	12	1	2325418	232163	6775	119
Slovenská ľudová strana Andreja Hlinku		AR443277183708823552	Google	d133	2019-05-13	130	1	2311833	214416	3406	231
mmb media agentur d.o.o.		AR524572049809604608	Google	d133	2019-05-13	459	1	2156380	174000	2951	55
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	d133	2019-05-13	58	1	2142095	208702	1407	99
COALICION CANARIA		AR489541609348661248	Google	d133	2019-05-13	1060	1	2017168	72347	11108	76
Mediabrands Digital OÜ		AR530356305605427200	Google	d133	2019-05-13	340	1	1784042	155858	1824	11
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	d133	2019-05-13	16	1	1554359	155435	7024	148
Pametno		AR222880077921124352	Google	d133	2019-05-13	64	1	1456452	141666	644	33
Partido Animalista PACMA		AR145115193901318144	Google	d133	2019-05-13	5	1	1422222	142222	9766	171
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	d133	2019-05-13	15	1	1347162	133908	3209	63
HEADS, s.r.o.		AR356967719951663104	Google	d133	2019-05-13	16	1	1280900	127936	1031	39
CDA Doetinchem		AR453512812329697280	Google	d133	2019-05-13	36	1	1271469	126272	197	8
Движение Да България		AR511110454072836096	Google	d133	2019-05-13	14	1	1191071	119107	595	56
Venstres Landsorganisation		AR283015942256984064	Google	d133	2019-05-13	108	1	1155414	104489	33693	728
UAB "BPN LT"		AR135010682042056704	Google	d133	2019-05-13	2	1	1100000	110000	3050	55
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	d133	2019-05-13	367	1	1075168	85292	9726	179
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	d133	2019-05-13	23	1	1026064	102283	677	66
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	d133	2019-05-13	28	1	959230	95769	105	5
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	d133	2019-05-13	30	1	902756	89113	4095	123
Strana nezávislosti České republiky		AR465054111008555008	Google	d133	2019-05-13	15	1	827171	82626	2464	48
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	d133	2019-05-13	62	1	814474	78106	8715	187
SPD		AR456734381399080960	Google	d133	2019-05-13	36	1	791130	78332	47496	2432
Nye Borgerlige		AR447862147196649472	Google	d133	2019-05-13	1	1	769230	76923	2307	38
Cink, s.r.o.		AR361287976015101952	Google	d133	2019-05-13	38	1	727788	72096	2066	52
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	d133	2019-05-13	55	1	671625	65109	299	10
Fondation Populaire		AR320938922932699136	Google	d133	2019-05-13	12	1	671362	66825	10037	194
Alternativet		AR198061076825243648	Google	d133	2019-05-13	4	1	642857	64285	15598	265
TALLER DE IDEAS PARA LA RED SL		AR478461555797655552	Google	d133	2019-05-13	33	1	606333	56000	421	10
Bündnis90/ Die Grünen		AR207068276079984640	Google	d133	2019-05-13	113	1	595911	41359	28654	644
DOPRAVA		AR56197688563073024	Google	d133	2019-05-13	9	1	590025	58859	15411	265
SF - Socialistisk Folkeparti		AR76998249537339392	Google	d133	2019-05-13	114	1	588833	48333	17385	337
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	d133	2019-05-13	2	1	585139	58513	3343	55
Liberal Alliance		AR183859784640888832	Google	d133	2019-05-13	60	1	565746	49873	9212	213
HLAS		AR312619193323225088	Google	d133	2019-05-13	335	1	559557	28655	2447	44
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	d133	2019-05-13	13	1	552882	54784	10051	198
Občanská demokratická strana		AR37429025076936704	Google	d133	2019-05-13	10	1	502638	50138	8846	175
Popolari per l'Italia		AR406403961759727616	Google	d133	2019-05-13	1	1	476190	47619	1428	23
Projekt Európa		AR303746959120793600	Google	d133	2019-05-13	61	1	404049	35227	641	32
Svobodní		AR190231179645943808	Google	d133	2019-05-13	108	1	403912	36355	394	9
MARCHEWKOWE STUDIO Tomasz Zwoliński		AR524341977001492480	Google	d133	2019-05-13	14	1	355000	35000	143	6
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	d133	2019-05-13	93	1	352993	29358	5677	117
Barcelona en Comú		AR342176264901099520	Google	d133	2019-05-13	16	1	326547	28571	475	21
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	d133	2019-05-13	6	1	324060	32406	751	33
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	d133	2019-05-13	5	1	319999	31999	250	24
Trendmark		AR82989213519183872	Google	d133	2019-05-13	2	1	285714	28571	8571	142
Partidul Pro Romania		AR116025139887341568	Google	d133	2019-05-13	13	1	273571	23928	13367	248
FDP Landesverband Saarland		AR227104401595039744	Google	d133	2019-05-13	5	1	250000	25000	575	50
Flamesite s.r.o.		AR522320249995919360	Google	d133	2019-05-13	172	1	229778	12900	680	14
Maria Spyraki		AR80818777565954048	Google	d133	2019-05-13	10	1	217822	21565	143	12
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	d133	2019-05-13	71	1	195507	18129	2676	51
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d133	2019-05-13	72	1	190839	14895	283	0
SVERIGES SOCIALDEMOKRATISKA ARBETAREPARTI		AR262288773683871744	Google	d133	2019-05-13	99	1	184271	10000	15148	345
Socialdemokratiet		AR237678679797268480	Google	d133	2019-05-13	25	1	166638	16202	3273	87
Fianna Fáil		AR101183107301900288	Google	d133	2019-05-13	28	1	159410	15208	194	11
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	d133	2019-05-13	73	1	155698	5396	535	0
EUpositive.sk		AR348804120993333248	Google	d133	2019-05-13	16	1	138991	13333	94	5
