advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	LV	Latvia	27	1	2869281	1218179	15299	3151
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	f	Facebook	LV	Latvia	159	1	2415670	540150	15463	0
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	f	Facebook	LV	Latvia	42	1	1984863	740978	5357	299
Eiropas Parlaments Latvijā	Eiropas Parlaments Latvijā	380325297593	Facebook	f	Facebook	LV	Latvia	33	1	1571965	625999	6966	1200
Roberts Zīle		508959865842254	Facebook	f	Facebook	LV	Latvia	20	1	1556968	640994	4779	700
Ijabs Ivars		345347539390006	Facebook	f	Facebook	LV	Latvia	9	1	977268	434696	2844	498
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	f	Facebook	LV	Latvia	15	1	930972	371993	3484	499
PROGRESĪVIE		184096511636333	Facebook	f	Facebook	LV	Latvia	18	1	789736	283428	2327	149
Mamikins.lv	Andrejs Mamikins	587293021433280	Facebook	f	Facebook	LV	Latvia	12	1	759988	245000	1988	200
European Greens		141366725876424	Facebook	f	Facebook	LV	Latvia	31	1	748693	324277	2716	479
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	f	Facebook	LV	Latvia	20	1	690754	170951	3175	299
Aleksejs Loskutovs		541229793055345	Facebook	f	Facebook	LV	Latvia	29	1	611792	139962	3187	98
Attīstībai / Par	partiju apvienība "Attīstībai/Par!"	634097313600056	Facebook	f	Facebook	LV	Latvia	10	1	602977	239993	2589	399
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	f	Facebook	LV	Latvia	14	1	581985	184999	2185	199
Kialo		729627343834501	Facebook	f	Facebook	LV	Latvia	345	1	470436	188991	3038	734
Русский союз Латвии	Latvijas Krievu savienība	545693602214498	Facebook	f	Facebook	LV	Latvia	4	1	399996	170000	1596	300
Andis Kudors	Jaunā konservatīvā partija	378991322688846	Facebook	f	Facebook	LV	Latvia	5	1	249995	50000	2095	400
Jānis Grasbergs	Jānis Grasbergs	329580341010027	Facebook	f	Facebook	LV	Latvia	5	1	219995	80000	895	100
Dmitrijs Golubevs	Dmitrijs Golubevs	603479506715383	Facebook	f	Facebook	LV	Latvia	6	1	210993	72000	1394	200
Krišjānis Feldmans	Jaunā konservatīvā partija	731540813660862	Facebook	f	Facebook	LV	Latvia	7	1	210956	41992	692	0
Rihards Kols	Rihards Kols	960297957323800	Facebook	f	Facebook	LV	Latvia	7	1	184993	46000	692	0
