advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Holzkern		550085078491459	Facebook	rm1	Last month	HR	Croatia	5	1	614	206	6	2
Specijalna Bolnica Sv. Katarina		318302614872633	Facebook	rm1	Last month	HR	Croatia	1	1	592	296	5	0
Tuunes		992176580926495	Facebook	rm1	Last month	HR	Croatia	4	1	575	234	0	0
RSM MBA		110428762358678	Facebook	rm1	Last month	HR	Croatia	3	1	564	260	1	0
DK Nagykanizsa	Demokratikus Koalíció	704399322958470	Facebook	rm1	Last month	HR	Croatia	3	1	539	110	0	0
Last Stop Brexit		820489154977103	Facebook	rm1	Last month	HR	Croatia	1	1	539	107	1	0
Stanford Graduate School of Business		208357009185713	Facebook	rm1	Last month	HR	Croatia	4	1	518	103	0	0
World Bank		153371894688575	Facebook	rm1	Last month	HR	Croatia	5	1	474	229	1	0
Ocean Witness		1260352987396236	Facebook	rm1	Last month	HR	Croatia	1	1	440	88	0	0
SV4IE		2246467545588430	Facebook	rm1	Last month	HR	Croatia	1	1	429	214	0	0
Intimina		127412964006704	Facebook	rm1	Last month	HR	Croatia	2	1	336	79	0	0
Roma EuroGames 2019		533740653459100	Facebook	rm1	Last month	HR	Croatia	1	1	306	153	0	0
Great		267772723892978	Facebook	rm1	Last month	HR	Croatia	1	1	303	151	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	rm1	Last month	HR	Croatia	5	1	295	97	8	0
FT Content Solutions		1220981994590364	Facebook	rm1	Last month	HR	Croatia	2	1	288	57	0	0
ParaqinOfficial		420328302103021	Facebook	rm1	Last month	HR	Croatia	1	1	287	143	2	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	rm1	Last month	HR	Croatia	1	1	191	38	1	0
European Committee of the Regions		527351247377965	Facebook	rm1	Last month	HR	Croatia	1	1	190	95	1	0
Mujalonga sul Mar 2019		296972123783651	Facebook	rm1	Last month	HR	Croatia	1	1	177	35	0	0
EURACTIV		15299247059	Facebook	rm1	Last month	HR	Croatia	1	1	170	34	0	0
pro aurum Kilchberg ZH		258246284700914	Facebook	rm1	Last month	HR	Croatia	3	1	164	32	2	0
TransformingTransport		1635700990066863	Facebook	rm1	Last month	HR	Croatia	1	1	152	30	0	0
Noosworks.com		405566173606704	Facebook	rm1	Last month	HR	Croatia	1	1	120	24	2	0
Guitar Lovers		203855170399686	Facebook	rm1	Last month	HR	Croatia	2	1	117	44	1	0
Open Society Foundations		18983389920	Facebook	rm1	Last month	HR	Croatia	5	1	116	17	4	0
We Amplify		186008238755917	Facebook	rm1	Last month	HR	Croatia	3	1	114	22	0	0
YOGA BURN		146316959083110	Facebook	rm1	Last month	HR	Croatia	3	1	113	22	1	0
Alpine Garden Society		239451772739772	Facebook	rm1	Last month	HR	Croatia	1	1	112	56	1	0
♤♧BOTCHY♧♤		353439831803607	Facebook	rm1	Last month	HR	Croatia	1	1	104	42	0	0
MCT- Master Change Training		1949733608605229	Facebook	rm1	Last month	HR	Croatia	1	1	101	0	8	0
Orbex		1415953441956155	Facebook	rm1	Last month	HR	Croatia	1	1	96	19	1	0
Eestimaa Rohelised		109605679062900	Facebook	rm1	Last month	HR	Croatia	1	1	95	19	0	0
Straw Of Steel		2304645696263363	Facebook	rm1	Last month	HR	Croatia	4	1	95	17	2	0
Best Tech Crowdfunding Videos		615071652029076	Facebook	rm1	Last month	HR	Croatia	7	1	89	3	6	0
Academic Stories		1462157503898233	Facebook	rm1	Last month	HR	Croatia	2	1	84	16	0	0
Council of Europe - Directorate General Human Rights and Rule of Law		315160671967064	Facebook	rm1	Last month	HR	Croatia	3	1	78	31	1	0
BetterMe		116700222203350	Facebook	rm1	Last month	HR	Croatia	2	1	78	39	0	0
Wasabi Technologies Inc.		1909620995946675	Facebook	rm1	Last month	HR	Croatia	1	1	74	37	0	0
Stephen Webster		237837336581	Facebook	rm1	Last month	HR	Croatia	2	1	72	28	0	0
Ambassador of Islam		2121543634600149	Facebook	rm1	Last month	HR	Croatia	1	1	70	14	0	0
S&P Global		112495188784373	Facebook	rm1	Last month	HR	Croatia	4	1	64	12	0	0
Franc Bogovič		288826994603012	Facebook	rm1	Last month	HR	Croatia	2	1	62	31	0	0
Ticalm.com		956222737885591	Facebook	rm1	Last month	HR	Croatia	1	1	53	10	0	0
OWTE Oil Limited		813090985707060	Facebook	rm1	Last month	HR	Croatia	2	1	52	10	0	0
ONE		11055104471	Facebook	rm1	Last month	HR	Croatia	1	1	50	10	0	0
Abdur-Raheem McCarthy (عبدالرحيم مكارثي)	One Ummah	163303980381013	Facebook	rm1	Last month	HR	Croatia	1	1	46	9	0	0
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	rm1	Last month	HR	Croatia	6	1	45	9	0	0
Master Chef Universal		279581679340572	Facebook	rm1	Last month	HR	Croatia	6	1	44	3	2	0
Beijing Tourism		442672999178128	Facebook	rm1	Last month	HR	Croatia	1	1	43	8	0	0
EU Citizens Alliance		1122069994636814	Facebook	rm1	Last month	HR	Croatia	2	1	43	15	0	0
ВОЛЯ - Българските Родолюбци		317433685633688	Facebook	rm1	Last month	HR	Croatia	1	1	40	8	0	0
Bestforyou6		2234509846791274	Facebook	rm1	Last month	HR	Croatia	1	1	40	0	3	0
Raben Group		246227514204	Facebook	rm1	Last month	HR	Croatia	1	1	40	8	0	0
Daily News Hungary		568066993228876	Facebook	rm1	Last month	HR	Croatia	1	1	37	7	0	0
Mary Beth West		92056987706	Facebook	rm1	Last month	HR	Croatia	1	1	37	18	0	0
APMS Engineering		268331613219255	Facebook	rm1	Last month	HR	Croatia	1	1	37	18	0	0
Whimsy Shops		2249890101944751	Facebook	rm1	Last month	HR	Croatia	9	1	34	3	1	0
Musicians Against Climate Change		1760259647637432	Facebook	rm1	Last month	HR	Croatia	3	1	32	1	2	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	rm1	Last month	HR	Croatia	8	1	26	7	0	0
Exponea		437489159794764	Facebook	rm1	Last month	HR	Croatia	4	1	25	2	1	0
Soviet Visuals		1160495674016675	Facebook	rm1	Last month	HR	Croatia	2	1	25	4	0	0
The Bellas		395502277694859	Facebook	rm1	Last month	HR	Croatia	3	1	22	0	1	0
Hoagard		331529506998997	Facebook	rm1	Last month	HR	Croatia	1	1	22	0	0	0
Off-Road		123971218299531	Facebook	rm1	Last month	HR	Croatia	1	1	22	4	0	0
Trieste Pro Patria		174135136104935	Facebook	rm1	Last month	HR	Croatia	1	1	22	4	0	0
EnergyXL		653767081747310	Facebook	rm1	Last month	HR	Croatia	1	1	18	9	0	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rm1	Last month	HR	Croatia	2	1	16	5	0	0
Odin		548799562209914	Facebook	rm1	Last month	HR	Croatia	2	1	16	0	1	0
Eldritch Foundry		333726374024339	Facebook	rm1	Last month	HR	Croatia	1	1	16	3	0	0
Daniel C Juster Official		199307546902179	Facebook	rm1	Last month	HR	Croatia	1	1	15	3	0	0
Atomcsapda	Energiaklub	1298059770281335	Facebook	rm1	Last month	HR	Croatia	2	1	14	2	0	0
Jávor Benedek	Párbeszéd Magyarországért	131797633528377	Facebook	rm1	Last month	HR	Croatia	1	1	12	6	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	rm1	Last month	HR	Croatia	2	1	11	2	0	0
