audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	RO	Romania	5341	1200	36743920	15617612	76569	17180
m35_44	male (35-44)	RO	Romania	5325	1187	35118407	14700126	73860	16392
m45_54	male (45-54)	RO	Romania	5211	1142	33522394	13860344	76148	16882
m18_24	male (18-24)	RO	Romania	4880	1112	28489581	12182188	54248	12045
f45_54	female (45-54)	RO	Romania	5354	1166	26014210	10803160	56694	12641
f55_64	female (55-64)	RO	Romania	4781	1096	26007960	10476949	57525	12433
f18_24	female (18-24)	RO	Romania	4976	1125	22491594	9684818	38216	8428
f35_44	female (35-44)	RO	Romania	5469	1204	21555137	9092248	44269	9845
f25_34	female (25-34)	RO	Romania	5462	1214	20629587	8822107	44118	9794
m55_64	male (55-64)	RO	Romania	4667	1079	20275757	8187942	45748	9840
f65_	female (65+)	RO	Romania	3980	969	12828421	5103861	29461	6339
m65_	male (65+)	RO	Romania	3921	951	9625940	3857832	22200	4743
f13_17	female (13-17)	RO	Romania	796	242	1978441	780710	3240	494
m13_17	male (13-17)	RO	Romania	777	237	1961062	770087	3688	606
u35_44	unknown (35-44)	RO	Romania	4081	975	154602	63305	425	92
u25_34	unknown (25-34)	RO	Romania	3622	922	97000	40206	269	58
u45_54	unknown (45-54)	RO	Romania	3738	895	65563	26472	193	41
u55_64	unknown (55-64)	RO	Romania	2848	766	30958	12327	79	16
u18_24	unknown (18-24)	RO	Romania	2477	692	29918	12490	79	15
u65_	unknown (65+)	RO	Romania	2258	663	23328	9266	59	12
u13_17	unknown (13-17)	RO	Romania	324	146	3435	1327	5	0
