country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MT	Malta	m25_34	male (25-34)	3931	721	6493667	2266858	34436	3094
MT	Malta	m35_44	male (35-44)	3873	714	5127662	1736558	28173	2060
MT	Malta	m18_24	male (18-24)	3631	659	4619697	1595728	24383	2003
MT	Malta	m45_54	male (45-54)	3750	686	3618464	1195052	20963	1417
MT	Malta	f55_64	female (55-64)	3411	666	3541908	1155359	22325	1337
MT	Malta	f25_34	female (25-34)	4163	750	3264876	1201226	16952	1837
MT	Malta	m55_64	male (55-64)	3279	647	3153702	1007067	18867	1127
MT	Malta	f18_24	female (18-24)	3798	678	3071536	1108084	15356	1467
MT	Malta	f35_44	female (35-44)	4094	735	3030550	1084070	16405	1456
MT	Malta	f65_	female (65+)	3148	598	2794710	886850	17684	972
MT	Malta	f45_54	female (45-54)	3970	711	2718961	936004	15989	1216
MT	Malta	m65_	male (65+)	3066	584	2462773	774560	14924	854
MT	Malta	m13_17	male (13-17)	1175	161	879425	279869	4750	264
MT	Malta	f13_17	female (13-17)	1193	170	832818	269706	4473	259
MT	Malta	u35_44	unknown (35-44)	3474	634	77849	26300	433	34
MT	Malta	u25_34	unknown (25-34)	3258	627	44840	15790	236	24
MT	Malta	u45_54	unknown (45-54)	3158	581	42607	14191	266	18
MT	Malta	u55_64	unknown (55-64)	2550	517	31688	10341	199	13
MT	Malta	u65_	unknown (65+)	2298	470	20623	6650	127	8
MT	Malta	u18_24	unknown (18-24)	2204	511	10125	3533	58	5
MT	Malta	u13_17	unknown (13-17)	489	128	3185	1042	18	1
