impression_code	impression_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	BE	Belgium	3144	763	2188855	0	214423	6
1k_5k	1k - 5k	BE	Belgium	3511	1083	12353186	2471131	243578	48
5k_10k	5k - 10k	BE	Belgium	1741	686	12541102	6271178	134817	3058
10k_50k	10k - 50k	BE	Belgium	3131	843	102395379	20479485	568383	95342
50k_100k	50k - 100k	BE	Belgium	902	280	54435612	27218078	312531	85864
100k_200k	100k - 200k	BE	Belgium	551	175	60498939	30249620	375709	102704
200k_500k	200k - 500k	BE	Belgium	404	129	105881042	42352501	626947	143932
500k_1m	500k - 1m	BE	Belgium	120	60	39572142	19786091	248808	56729
