advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	w013	Week 13	DK	Denmark	4	1	569996	220000	1606	763
Oatly		214112085661044	Facebook	w013	Week 13	DK	Denmark	2	1	509997	204999	5098	1000
Red Barnet		67571270393	Facebook	w013	Week 13	DK	Denmark	50	1	262798	96821	4514	1148
European Parliament		178362315106	Facebook	w013	Week 13	DK	Denmark	18	1	178783	61437	1100	112
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	w013	Week 13	DK	Denmark	3	1	149997	30000	2008	401
Jeppe Kofod	Socialdemokratiet	137685999659722	Facebook	w013	Week 13	DK	Denmark	7	1	107744	26350	338	95
Sex og Samfund		250994288337708	Facebook	w013	Week 13	DK	Denmark	1	1	107691	53846	3604	720
Kristian Hegaard		309352049198824	Facebook	w013	Week 13	DK	Denmark	2	1	99998	20000	888	178
SF		74796954245	Facebook	w013	Week 13	DK	Denmark	7	1	94993	29500	534	167
SE Energi & Klima		169900309711559	Facebook	w013	Week 13	DK	Denmark	2	1	92580	46290	385	77
Ina Strøjer-Schmidt - Folketingskandidat for SF i Københavns omegn		211409879739775	Facebook	w013	Week 13	DK	Denmark	6	1	80994	22000	1552	307
Simple Feast		571176036346620	Facebook	w013	Week 13	DK	Denmark	25	1	78273	16191	964	155
World Animal Protection Danmark		33588644626	Facebook	w013	Week 13	DK	Denmark	5	1	75419	31208	897	202
Lizette Risgaard		547601668763372	Facebook	w013	Week 13	DK	Denmark	14	1	66390	24737	743	189
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	w013	Week 13	DK	Denmark	4	1	55935	11187	94	15
Michael Aastrup Jensen	Jensen Michael Aastrup	389665107805619	Facebook	w013	Week 13	DK	Denmark	1	1	49999	10000	66	13
Folkebevægelsen for asylbørns fremtid		127791457997348	Facebook	w013	Week 13	DK	Denmark	1	1	49999	10000	66	13
Refurb.dk - Genbrugt it		32835346254	Facebook	w013	Week 13	DK	Denmark	1	1	49999	10000	66	13
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	w013	Week 13	DK	Denmark	2	1	49121	24560	1644	328
En grønnere planet		301647537160818	Facebook	w013	Week 13	DK	Denmark	7	1	47135	17397	502	169
Claus Hasselmanns - Folketingskandidat		611297145887529	Facebook	w013	Week 13	DK	Denmark	13	1	40423	13050	322	65
Morten Helveg Petersen		442403485851495	Facebook	w013	Week 13	DK	Denmark	1	1	39999	8000	535	107
Respons		353248551789309	Facebook	w013	Week 13	DK	Denmark	1	1	37499	7500	100	50
Tænketanken Frej		241936245995223	Facebook	w013	Week 13	DK	Denmark	1	1	36363	18181	24	4
HaveOasen A/S		170563796328117	Facebook	w013	Week 13	DK	Denmark	1	1	35713	7142	478	95
Hørsholm Planteskole		583042658442874	Facebook	w013	Week 13	DK	Denmark	1	1	35713	7142	478	95
Havlykke Planteskole		1423235534589037	Facebook	w013	Week 13	DK	Denmark	1	1	35713	7142	95	47
Korsbakkes Planteskole		945862315423817	Facebook	w013	Week 13	DK	Denmark	1	1	35713	7142	478	95
Wholesome Culture		1664959567149320	Facebook	w013	Week 13	DK	Denmark	5	1	30323	13945	88	17
Charlotte Munch - Politiker		210317432480139	Facebook	w013	Week 13	DK	Denmark	4	1	29390	5826	69	13
Alex Vanopslagh		671022293105597	Facebook	w013	Week 13	DK	Denmark	6	1	27328	10999	231	40
Socialdemokratiet		41459763029	Facebook	w013	Week 13	DK	Denmark	2	1	27191	13461	183	36
Kialo		729627343834501	Facebook	w013	Week 13	DK	Denmark	9	1	26379	7379	264	57
Elgiganten DK		174502449245037	Facebook	w013	Week 13	DK	Denmark	1	1	25923	12962	34	17
Folkekirkens Nødhjælp		276770505228	Facebook	w013	Week 13	DK	Denmark	8	1	25779	5680	67	8
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	w013	Week 13	DK	Denmark	2	1	25644	5129	343	68
Shahzad Riaz - Folketingskandidat		751124808611554	Facebook	w013	Week 13	DK	Denmark	2	1	23180	4636	249	32
Ørsted		170902079673829	Facebook	w013	Week 13	DK	Denmark	6	1	21910	4368	289	57
Karina Lorentzen Dehnhardt	Dehnhardt Karina Lorentzen	116061635098137	Facebook	w013	Week 13	DK	Denmark	1	1	21211	10606	141	28
Morten Messerschmidt		111394892261429	Facebook	w013	Week 13	DK	Denmark	2	1	18938	4878	448	89
LO Hovedstaden		499779403395255	Facebook	w013	Week 13	DK	Denmark	1	1	18682	3736	250	50
Historiske Dage		366650673475911	Facebook	w013	Week 13	DK	Denmark	1	1	17497	3499	174	34
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	w013	Week 13	DK	Denmark	5	1	17225	7159	213	82
Den Blå Planet		167018996755220	Facebook	w013	Week 13	DK	Denmark	1	1	15555	7777	52	10
Nick Zimmermann - Dansk Folkeparti		331034483992282	Facebook	w013	Week 13	DK	Denmark	2	1	14998	6000	200	80
Frihedsgudinderne		161580760854856	Facebook	w013	Week 13	DK	Denmark	4	1	14735	7368	197	98
Jesper Christensen		135081213672482	Facebook	w013	Week 13	DK	Denmark	1	1	13611	2722	36	18
Humble Household		1746853745395190	Facebook	w013	Week 13	DK	Denmark	7	1	13081	5213	83	17
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	w013	Week 13	DK	Denmark	5	1	12908	6309	68	13
Nye Borgerlige		646746285466931	Facebook	w013	Week 13	DK	Denmark	1	1	12499	2500	33	16
180Grader		175052915862375	Facebook	w013	Week 13	DK	Denmark	2	1	11999	3000	40	16
Røde Kors		65929129383	Facebook	w013	Week 13	DK	Denmark	3	1	11391	2278	152	30
HALL AUDIO		1040727195955614	Facebook	w013	Week 13	DK	Denmark	1	1	11290	2258	30	15
Marianne Bigum	Bigum Marianne Kristine Kjaergaard	213461659232038	Facebook	w013	Week 13	DK	Denmark	1	1	10937	2187	146	29
BDO Danmark		796368150399958	Facebook	w013	Week 13	DK	Denmark	1	1	9999	5000	133	66
Ken Kristensen - Politiker		1492391310793372	Facebook	w013	Week 13	DK	Denmark	1	1	9999	5000	66	13
Rundt om Bornholm		448718328878390	Facebook	w013	Week 13	DK	Denmark	2	1	9998	2000	133	26
Det er jo vandvittigt		563725800738428	Facebook	w013	Week 13	DK	Denmark	1	1	9996	4998	66	13
UNHCR Danmark		924692171033381	Facebook	w013	Week 13	DK	Denmark	2	1	9940	2870	133	38
Red Barnet Ungdom		146956228206	Facebook	w013	Week 13	DK	Denmark	1	1	8333	1666	111	22
Niels Fuglsang		264009771074617	Facebook	w013	Week 13	DK	Denmark	2	1	8180	1636	21	0
Krogerup Højskole		276479815705210	Facebook	w013	Week 13	DK	Denmark	1	1	7954	1590	106	21
Europa-Parlamentet i Danmark		128700897207990	Facebook	w013	Week 13	DK	Denmark	3	1	7872	1375	235	0
Line Mørk		220210991487359	Facebook	w013	Week 13	DK	Denmark	4	1	7256	1000	96	13
Glamsbjerg Havecenter		1561077074150684	Facebook	w013	Week 13	DK	Denmark	1	1	7142	3571	95	47
Nykøbing Plantehandel		782093555161913	Facebook	w013	Week 13	DK	Denmark	1	1	7142	3571	95	47
Esbjerg Planteskole		483940668335551	Facebook	w013	Week 13	DK	Denmark	1	1	7142	3571	47	9
Langeskov Planteskole		291420284339173	Facebook	w013	Week 13	DK	Denmark	1	1	7142	3571	95	47
Audebo Havecenter		191278364217342	Facebook	w013	Week 13	DK	Denmark	1	1	7142	3571	47	9
Nicolai Biograf		214561981896915	Facebook	w013	Week 13	DK	Denmark	1	1	6999	3500	46	9
Stén Knuth		449803521791656	Facebook	w013	Week 13	DK	Denmark	1	1	6666	3333	58	0
Mellemfolkeligt Samvirke		5624899398	Facebook	w013	Week 13	DK	Denmark	29	1	6535	218	75	0
Mikkel Rasmussen		1225863877541743	Facebook	w013	Week 13	DK	Denmark	1	1	6245	1249	8	1
Helle  Bonnesen		221368818036876	Facebook	w013	Week 13	DK	Denmark	2	1	5713	1142	45	7
Carl Valentin		323782467803321	Facebook	w013	Week 13	DK	Denmark	2	1	5598	1000	74	13
Morten Klessen	Socialdemokratiet i Nordjylland	1039840406189567	Facebook	w013	Week 13	DK	Denmark	1	1	4999	1000	66	13
Greenpeace Danmark	Greenpeace Danmark	55365680705	Facebook	w013	Week 13	DK	Denmark	1	1	4999	999	46	9
Erik Poulsen - kandidat til Europa-Parlamentet		203735820417737	Facebook	w013	Week 13	DK	Denmark	1	1	4999	2499	33	6
Palle Lykke Ravn		601750406666753	Facebook	w013	Week 13	DK	Denmark	1	1	4999	1000	66	13
Tom Andkjær		1875899649300807	Facebook	w013	Week 13	DK	Denmark	1	1	4999	1000	66	13
Dansk Magisterforening		314676938743	Facebook	w013	Week 13	DK	Denmark	1	1	4999	1000	66	13
Energibyen Frederikshavn		985536668182860	Facebook	w013	Week 13	DK	Denmark	1	1	4999	1000	66	13
Socialdemokratiet i Odense		412462672263063	Facebook	w013	Week 13	DK	Denmark	2	1	4999	1000	66	13
Spinvogter		351682144989487	Facebook	w013	Week 13	DK	Denmark	1	1	4999	999	88	0
Troels Lund Poulsen	Poulsen Troels Lund	139443622778678	Facebook	w013	Week 13	DK	Denmark	1	1	4998	999	66	13
Søren Heisel		525743220871394	Facebook	w013	Week 13	DK	Denmark	1	1	4998	999	66	13
Telia Danmark		266813246576	Facebook	w013	Week 13	DK	Denmark	1	1	4998	1000	133	66
Inger Staahl Jensen i Europa-Parlamentet		586553418054920	Facebook	w013	Week 13	DK	Denmark	3	1	4956	791	23	0
Thue Grum-Schwensen i EU		1924899181139876	Facebook	w013	Week 13	DK	Denmark	3	1	4733	2220	95	12
Amager Øst Lokaludvalg		131132653634720	Facebook	w013	Week 13	DK	Denmark	1	1	4613	2307	30	6
Frivilligrådet		132017193534861	Facebook	w013	Week 13	DK	Denmark	1	1	4545	2272	30	6
EPP - European People's Party		48034275355	Facebook	w013	Week 13	DK	Denmark	5	1	4539	1986	34	9
The Bamboo Brush Society		1152885191422950	Facebook	w013	Week 13	DK	Denmark	2	1	4328	1730	4	0
Next Generation Democracy: Government that works in a technology driven era		1558449170847972	Facebook	w013	Week 13	DK	Denmark	1	1	4117	2058	27	5
Radical Pantry		531069674026158	Facebook	w013	Week 13	DK	Denmark	8	1	4101	897	22	2
Ditte Helene Rasmussen		1695279804109365	Facebook	w013	Week 13	DK	Denmark	1	1	3999	799	53	10
Marlene Kjær		1034126603434315	Facebook	w013	Week 13	DK	Denmark	1	1	3749	750	66	0
International Debat		169212036606662	Facebook	w013	Week 13	DK	Denmark	1	1	3749	750	66	0
SKAGEN Fondene DK		484727051553917	Facebook	w013	Week 13	DK	Denmark	1	1	3636	1818	48	24
Vejs Havecenter		438755242982473	Facebook	w013	Week 13	DK	Denmark	1	1	3570	714	47	9
Niels Flemming Hansen		177609692660255	Facebook	w013	Week 13	DK	Denmark	1	1	3124	625	41	8
Michael Skaaning Johansen - Radikale venstre		186532251781059	Facebook	w013	Week 13	DK	Denmark	1	1	3124	625	41	8
Søren Bo Pedersen		156848008344406	Facebook	w013	Week 13	DK	Denmark	1	1	2999	600	40	8
Folketingskandidat - Claus Bøgh Svenningsen		1392451360871381	Facebook	w013	Week 13	DK	Denmark	6	1	2860	0	37	0
Claus Jansson		1122575707837644	Facebook	w013	Week 13	DK	Denmark	1	1	2727	1363	18	3
Dansk VVS & Klima		159522899461	Facebook	w013	Week 13	DK	Denmark	1	1	2726	545	36	7
