country_code_filter	country_name_filter	age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	13_17	13-17	1389	579	7314720	3024211	24560	2644
FR	France	18_24	18-24	8849	2750	52648429	21564933	313558	53580
FR	France	25_34	25-34	11638	3105	54586909	21165272	429069	74530
FR	France	35_44	35-44	11632	3048	43330663	16474173	388206	68906
FR	France	45_54	45-54	11087	2919	34397995	13034383	331896	58021
FR	France	55_64	55-64	9929	2694	25429666	9537322	256379	43878
FR	France	65_	65+	8651	2375	19472112	7193403	192962	31557
