country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PT	Portugal	d133	2019-05-13	130	53	312557	141399	632	145
PT	Portugal	d132	2019-05-12	137	56	348514	156636	699	155
PT	Portugal	d131	2019-05-11	167	60	417108	182047	1002	255
PT	Portugal	d130	2019-05-10	168	65	450444	183662	1183	245
PT	Portugal	d129	2019-05-09	179	65	1391769	642251	1898	211
PT	Portugal	d128	2019-05-08	165	64	312753	142841	696	114
PT	Portugal	d127	2019-05-07	161	63	999686	439931	2285	442
PT	Portugal	d126	2019-05-06	160	62	486035	229939	1913	339
PT	Portugal	d125	2019-05-05	173	66	337749	155543	1639	332
PT	Portugal	d124	2019-05-04	179	69	580849	268607	1982	496
PT	Portugal	d123	2019-05-03	202	78	445071	201951	931	273
PT	Portugal	d122	2019-05-02	234	79	1338667	652460	1903	725
PT	Portugal	d121	2019-05-01	213	79	372296	153980	913	277
PT	Portugal	d120	2019-04-30	263	91	504118	186238	1283	285
PT	Portugal	d119	2019-04-29	283	89	1432202	673293	6139	1255
PT	Portugal	d118	2019-04-28	269	88	1128115	547654	5679	1109
PT	Portugal	d117	2019-04-27	277	96	207421	89037	1115	324
PT	Portugal	d116	2019-04-26	561	110	642381	269768	2375	569
PT	Portugal	d115	2019-04-25	546	110	426546	169482	1094	116
PT	Portugal	d114	2019-04-24	532	110	257783	63823	889	57
PT	Portugal	d113	2019-04-23	487	111	581066	250508	2165	364
PT	Portugal	d112	2019-04-22	387	116	183390	60035	747	42
PT	Portugal	d111	2019-04-21	341	111	311502	138901	716	112
PT	Portugal	d110	2019-04-20	356	119	281857	100952	650	78
PT	Portugal	d109	2019-04-19	437	133	982694	413554	1722	299
PT	Portugal	d108	2019-04-18	478	140	362315	149838	1008	84
PT	Portugal	d107	2019-04-17	503	143	695273	298088	1576	169
PT	Portugal	d106	2019-04-16	561	149	512392	205575	2004	313
PT	Portugal	d105	2019-04-15	599	168	864537	344433	2457	326
PT	Portugal	d104	2019-04-14	552	179	1141518	462940	3271	491
