impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	64315	9515	64250684	0	6092260	2648
1k_5k	1k - 5k	48497	11939	242436503	48497000	4654985	52558
5k_10k	5k - 10k	18505	6043	185031495	92525000	2111932	122992
10k_50k	10k - 50k	24674	5819	1233675326	246740000	6235736	1048049
50k_100k	50k - 100k	4860	1508	485995140	243000000	2737503	736214
100k_200k	100k - 200k	2589	858	517797411	258900000	2846772	770626
200k_500k	200k - 500k	1660	536	829998340	332000000	4051312	993569
500k_1m	500k - 1m	526	185	525999474	263000000	2285589	634006
