platform_code	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	201125	24420	5144084875	1873263000	37709097	5439814
g	Google	11747	101	1555760000	145860000	8786750	257150
