day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d133	2019-05-13	IT	Italy	2014	501	10664252	4000193	54493	5611
d132	2019-05-12	IT	Italy	2446	565	13335528	4899807	70552	6847
d131	2019-05-11	IT	Italy	2578	593	13739153	4956913	69858	6508
d130	2019-05-10	IT	Italy	2622	630	13509371	4748944	74033	6633
d129	2019-05-09	IT	Italy	2362	625	12542583	4419910	62819	5800
d128	2019-05-08	IT	Italy	2206	577	13630484	4933931	62631	8932
d127	2019-05-07	IT	Italy	2035	552	11032579	3990052	53410	6329
d126	2019-05-06	IT	Italy	1907	531	12056243	4442338	58843	8281
d125	2019-05-05	IT	Italy	1751	521	9203993	3380092	39853	4698
d124	2019-05-04	IT	Italy	1732	539	7942220	2817805	38527	4042
d123	2019-05-03	IT	Italy	1683	550	8509458	3100189	46328	6693
d122	2019-05-02	IT	Italy	1689	564	8455094	3079782	46037	6022
d121	2019-05-01	IT	Italy	1520	548	5306025	1808729	26184	2139
d120	2019-04-30	IT	Italy	1651	588	7486900	2867765	36783	4450
d119	2019-04-29	IT	Italy	1505	560	5207435	1896971	24795	2780
d118	2019-04-28	IT	Italy	1358	509	3865274	1427260	16636	1708
d117	2019-04-27	IT	Italy	1315	520	3951677	1514082	16966	1726
d116	2019-04-26	IT	Italy	1309	512	4495134	1754962	19471	3183
d115	2019-04-25	IT	Italy	1262	504	4678149	1778083	21125	2758
d114	2019-04-24	IT	Italy	1206	495	4498127	1674368	19335	3136
d113	2019-04-23	IT	Italy	1135	489	2990602	1065412	12864	1343
d112	2019-04-22	IT	Italy	1050	492	1836637	629228	8626	550
d111	2019-04-21	IT	Italy	1091	512	1815126	621140	9045	723
d110	2019-04-20	IT	Italy	1133	547	1759901	601976	9857	758
d109	2019-04-19	IT	Italy	1190	584	3850941	1469427	28145	4391
d108	2019-04-18	IT	Italy	1197	597	1732790	593811	10087	563
d107	2019-04-17	IT	Italy	1237	625	2102796	676217	12200	576
d106	2019-04-16	IT	Italy	1361	706	2430887	822474	15568	885
d105	2019-04-15	IT	Italy	1533	791	3114501	1036937	19527	899
d104	2019-04-14	IT	Italy	1497	785	3213972	1085432	17197	1069
