country_code_filter	country_name_filter	age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
EL	Greece	13_17	13-17	1184	305	3097593	1153447	7914	565
EL	Greece	18_24	18-24	6547	1261	44375855	17592320	134288	17519
EL	Greece	25_34	25-34	7341	1372	42043155	16024080	148800	16738
EL	Greece	35_44	35-44	7372	1358	41115644	15113987	156343	15023
EL	Greece	45_54	45-54	7199	1311	38233112	13464395	161592	13189
EL	Greece	55_64	55-64	6359	1247	27968010	9358198	126454	8631
EL	Greece	65_	65+	5752	1135	16106428	5369519	73695	5090
