gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	218879	26081	2923597263	1066885116	21496118	3158160
m	male	211828	25507	3166108756	1154453390	22162472	3222914
u	unknown	167745	23515	37507596	13174489	347407	52098
