country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
UK	United Kingdom	55616	5301	913940948	312189059	11321776	1540178
ES	Spain	26509	2211	582900322	221844262	4231337	535639
IT	Italy	19161	5094	479717601	175240214	2503597	272075
DE	Germany	39478	4388	437139124	137738730	4945246	436824
BE	Belgium	13020	2249	368661372	140940846	2572587	456449
RO	Romania	6466	1336	336200133	140242105	711477	154734
FR	France	13933	3286	263006716	102066085	2227390	372117
__	(Non-EU data in the Facebook Ad Library)	22977	5993	254353069	102079707	898692	142642
EL	Greece	8446	1474	239825971	87978849	903520	88018
HU	Hungary	5968	1627	198272403	81687387	463822	155751
SE	Sweden	11374	1964	187759509	63649081	1619388	400736
PL	Poland	8460	1795	179835325	65879204	521056	100870
AT	Austria	12145	1492	179740570	61807246	1687213	236329
NL	Netherlands	7280	1642	124784810	49258530	1014963	193664
DK	Denmark	10666	1545	124245980	38754009	1143464	275905
SK	Slovakia	7099	866	114854290	39363431	744678	74632
CZ	Czechia	7332	1024	91003833	31660769	359132	87292
FI	Finland	6542	1252	83818896	29542315	831279	125485
IE	Ireland	5091	1228	60370423	22601724	399155	60024
PT	Portugal	4650	1241	53304295	21418508	183060	28022
MT	Malta	4650	818	50413337	16968208	284222	22610
HR	Croatia	3117	785	47415285	17378361	156305	17140
LT	Lithuania	2931	686	42513338	15995673	159224	20340
BG	Bulgaria	2934	786	35418730	13318604	116778	14353
CY	Cyprus	1988	489	26018242	8584732	111175	10113
SI	Slovenia	2804	672	21323183	7683374	113049	12967
EE	Estonia	2373	562	20800820	7490696	108320	14293
LV	Latvia	2459	622	20343148	7188925	93467	10275
LU	Luxembourg	3401	770	19250553	6473193	111451	10494
