advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w015	Week 15	325	1	14711038	6275875	68911	13814
SPD	SPD	47930567748	Facebook	w015	Week 15	1921	1	14026079	4484000	257579	17200
Podemos	Unidas Podemos	269212336568846	Facebook	w015	Week 15	31	1	13582212	6402714	75028	18616
European Commission		107898832590939	Facebook	w015	Week 15	85	1	9506772	4295862	39696	9937
Kialo		729627343834501	Facebook	w015	Week 15	118	1	7206882	2436000	49119	11001
Un país moderno	Unidas Podemos	577723459314066	Facebook	w015	Week 15	45	1	6261438	2815533	22478	5446
European Greens		141366725876424	Facebook	w015	Week 15	27	1	5934862	2599523	32183	8239
Sosialidemokraatit SDP		108945982480217	Facebook	w015	Week 15	111	1	5882426	2326315	38667	9476
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w015	Week 15	32	1	4714640	2234536	13168	3368
People's Vote UK	People's Vote	748608695327755	Facebook	w015	Week 15	345	1	4661730	1447984	97762	19625
Conservatives	The Conservative Party	8807334278	Facebook	w015	Week 15	237	1	4526441	1803385	46408	7019
Greens/EFA in the European Parliament		150527751674751	Facebook	w015	Week 15	36	1	4453006	1925095	5902	1107
España Ciudadana		349800235527721	Facebook	w015	Week 15	18	1	4220982	1850000	21182	5000
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	w015	Week 15	9	1	3853326	1836666	3332	1619
Greenpeace France		39435457457	Facebook	w015	Week 15	38	1	3662106	1467000	12327	3549
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	w015	Week 15	34	1	3228693	1438679	27246	5431
Partido Popular	Partido Popular	72249031214	Facebook	w015	Week 15	283	1	2930381	779833	12548	383
Best For Britain	Best for Britain	1863944713844924	Facebook	w015	Week 15	36	1	2853925	1186556	24909	4751
38 Degrees	38 Degrees	200006375787	Facebook	w015	Week 15	81	1	2709471	902517	16869	2872
sp.a	sp.a	57253967150	Facebook	w015	Week 15	95	1	2609428	982804	13532	2891
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	w015	Week 15	4	1	2499996	1100000	1996	400
The Labour Party	The Labour Party	25749647410	Facebook	w015	Week 15	53	1	2292203	957622	16806	3623
Enel Energia		1589410777971706	Facebook	w015	Week 15	5	1	1859995	830000	18845	3750
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w015	Week 15	5	1	1798714	816025	13156	2632
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	w015	Week 15	9	1	1628660	743433	10827	2516
