week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-07	24380	3244	150624210	51698744	1109808	112174
w018	Week 18	2019-04-29	2019-05-05	43406	5736	609536079	219159922	4418747	567671
w017	Week 17	2019-04-22	2019-04-28	35269	5311	605731147	228806405	4274313	642585
w016	Week 16	2019-04-15	2019-04-21	27286	5703	421894673	152498560	2797429	358396
w015	Week 15	2019-04-08	2019-04-14	23840	7192	354579956	130900499	2474759	344997
w014	Week 14	2019-04-01	2019-04-07	17424	6346	239473771	84881434	1696822	231003
w013	Week 13	2019-03-25	2019-03-31	15829	5328	213814380	77429464	1628108	225340
w012	Week 12	2019-03-18	2019-03-24	15543	5002	205357901	73568663	1666595	213052
w011	Week 11	2019-03-11	2019-03-17	11698	4167	172169224	62726137	1266127	174816
w010	Week 10	2019-03-04	2019-03-10	9122	3386	149774807	55677097	982738	138522
w009	Week 9	2019-02-25	2019-03-03	5910	1871	79300166	28121617	616924	92373
w008	Week 8	2019-02-18	2019-02-24	5065	1273	69823497	25430273	622817	87851
w007	Week 7	2019-02-11	2019-02-17	3660	1114	45551263	16126492	352582	49912
w006	Week 6	2019-02-04	2019-02-10	3321	1010	50891758	19274902	378945	51697
w005	Week 5	2019-01-28	2019-02-03	3607	904	56837629	20030756	460064	71526
w004	Week 4	2019-01-21	2019-01-27	3516	837	49338542	18183885	420573	61245
w003	Week 3	2019-01-14	2019-01-20	3141	777	44863931	15889018	404572	62390
w002	Week 2	2019-01-07	2019-01-13	2340	670	38205361	12805740	294007	47345
w001	Week 1	2019-01-01	2019-01-06	2888	508	63075389	21654383	590669	96543
