age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	ES	Spain	984	400	2835137	1110785	7221	594
18_24	18-24	ES	Spain	16230	2024	101253411	40423499	550788	77695
25_34	25-34	ES	Spain	20084	2221	141484720	54895581	918431	126819
35_44	35-44	ES	Spain	20085	2226	130137945	49824419	949524	127489
45_54	45-54	ES	Spain	20117	2147	106041927	38909175	812647	102384
55_64	55-64	ES	Spain	19225	1968	72317957	26077242	665228	70036
65_	65+	ES	Spain	16634	1735	40919215	14816317	389547	40187
