advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f35_44	female (35-44)	1356	1	21402966	9624312	119514	30900
Podemos	Unidas Podemos	269212336568846	Facebook	f35_44	female (35-44)	319	1	13993741	6135992	85131	21829
Ciudadanos	Ciudadanos	74078667754	Facebook	f35_44	female (35-44)	4565	1	12282821	3728227	122700	9007
Partido Popular	Partido Popular	72249031214	Facebook	f35_44	female (35-44)	1290	1	10944032	3930883	64141	8087
People's Vote UK	People's Vote	748608695327755	Facebook	f35_44	female (35-44)	3321	1	10056072	3530752	128970	23856
European Greens		141366725876424	Facebook	f35_44	female (35-44)	274	1	6580540	2929488	39219	9654
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f35_44	female (35-44)	242	1	6023854	2699214	12753	2889
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f35_44	female (35-44)	2347	1	5775622	1973963	66221	7608
Rädda Barnen		72659261793	Facebook	f35_44	female (35-44)	398	1	5220208	1715196	47867	12058
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f35_44	female (35-44)	2047	1	4805220	1631927	69594	9707
sp.a	sp.a	57253967150	Facebook	f35_44	female (35-44)	329	1	4640209	1901536	20148	4808
Britain's Future	Britain's Future	1625300137516491	Facebook	f35_44	female (35-44)	3853	1	4513285	1407432	55730	8275
The Labour Party	The Labour Party	25749647410	Facebook	f35_44	female (35-44)	626	1	4103744	1667742	31497	6722
Best For Britain	Best for Britain	1863944713844924	Facebook	f35_44	female (35-44)	810	1	3979750	1694587	48725	11731
CDU	CDU	78502295414	Facebook	f35_44	female (35-44)	3170	1	3712474	898522	36587	825
PSOE	PSOE	189318235003	Facebook	f35_44	female (35-44)	330	1	3616116	1426754	11384	2221
Kialo		729627343834501	Facebook	f35_44	female (35-44)	848	1	3603916	1455258	25479	6315
FDP	FDP	21289227249	Facebook	f35_44	female (35-44)	2208	1	3137898	918098	26170	1320
Conservatives	The Conservative Party	8807334278	Facebook	f35_44	female (35-44)	1653	1	3095388	1181520	36551	4490
Médecins du Monde France		265420476920	Facebook	f35_44	female (35-44)	1861	1	3060072	1013440	44461	4345
Partito Democratico	Partito Democratico	77034286895	Facebook	f35_44	female (35-44)	224	1	2985327	1320517	8773	2354
Greenpeace France		39435457457	Facebook	f35_44	female (35-44)	127	1	2939553	1327356	15218	3473
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f35_44	female (35-44)	88	1	2851182	1319000	7595	2017
Plan International Sverige		382243262003	Facebook	f35_44	female (35-44)	358	1	2626903	883725	23387	5654
România în primul rând	Future Innovation	770704223323599	Facebook	f35_44	female (35-44)	93	1	2545129	1103401	2409	619
