region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
central_finland	Central Finland	FI	Finland	2840	518	1138843	257888	18202	1495
central_ostrobothnia	Central Ostrobothnia	FI	Finland	2227	408	122545	25624	2859	21
etela_savo	Etelä-Savo	FI	Finland	2400	442	325896	85073	5645	256
kainuu	Kainuu	FI	Finland	2006	366	283776	55736	7790	126
kymenlaakso	Kymenlaakso	FI	Finland	2525	472	300041	79278	4645	303
lapland_finland	Lapland (Finland)	FI	Finland	2660	513	809380	205219	13446	552
north_karelia	North Karelia	FI	Finland	2478	441	180943	43728	4384	129
northern_ostrobothnia	Northern Ostrobothnia	FI	Finland	2974	537	1857596	513976	26515	1823
ostrobothnia_region	Ostrobothnia (region)	FI	Finland	2916	535	1322955	319743	19268	664
pirkanmaa	Pirkanmaa	FI	Finland	3277	632	2471712	723138	34775	3742
pohjois_savo	Pohjois-Savo	FI	Finland	2606	484	441804	116067	8325	409
paijat_hame	Päijät-Häme	FI	Finland	2602	504	432546	99772	6310	408
satakunta	Satakunta	FI	Finland	2553	491	518298	129542	9845	493
south_karelia	South Karelia	FI	Finland	2379	434	258711	58781	4203	285
southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	2426	464	270060	68448	8338	156
southwest_finland	Southwest Finland	FI	Finland	3970	714	2172723	621292	42386	2734
tavastia_proper	Tavastia Proper	FI	Finland	2583	498	259971	62189	5306	226
uusimaa	Uusimaa	FI	Finland	4890	927	16104381	5007616	200137	26058
aland_islands	Åland Islands	FI	Finland	2090	396	365294	87524	3342	350
