age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	ES	Spain	211	73	362940	119636	1319	87
18_24	18-24	ES	Spain	4174	473	24773925	9272908	190696	28761
25_34	25-34	ES	Spain	4456	493	35888417	13277890	312473	49896
35_44	35-44	ES	Spain	4541	495	32989998	12097701	303763	47373
45_54	45-54	ES	Spain	4402	490	24691576	8893995	243295	35866
55_64	55-64	ES	Spain	4181	480	20432249	7608412	217402	32578
65_	65+	ES	Spain	4112	450	12263588	4475594	151969	19777
