audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	172622	23680	711569526	266064406	4704210	708085
m18_24	male (18-24)	155136	21924	607125542	228577349	3752544	547930
f18_24	female (18-24)	156144	22229	558229282	211826139	3468785	512396
f25_34	female (25-34)	175680	24090	550073664	205614062	3866875	596556
m35_44	male (35-44)	175023	23479	529939975	194523319	3729506	555703
f35_44	female (35-44)	178413	23929	451714205	165666544	3431893	520844
m45_54	male (45-54)	170502	22861	443749961	158207813	3427495	492877
f45_54	female (45-54)	175570	23304	414981822	148444164	3361690	485370
f55_64	female (55-64)	167738	22106	363986230	127320464	3067471	415838
m55_64	male (55-64)	162394	21768	312814875	108079890	2622880	348751
f65_	female (65+)	152095	20160	264952251	90975149	2409723	335028
m65_	male (65+)	148476	19884	219576144	74834061	1946005	263948
f13_17	female (13-17)	20611	4957	52044738	19290340	219652	20388
m13_17	male (13-17)	21072	4918	44024749	16371254	207128	19002
u35_44	unknown (35-44)	121020	19268	10176599	3644363	86646	13433
u25_34	unknown (25-34)	107380	18127	7355850	2663974	58905	9016
u45_54	unknown (45-54)	111601	18028	6494724	2250455	66908	10027
u55_64	unknown (55-64)	94279	15588	4114212	1379765	47547	6888
u65_	unknown (65+)	87649	14602	3961454	1324162	45879	6574
u18_24	unknown (18-24)	73326	13775	2484793	885676	21381	2949
u13_17	unknown (13-17)	8239	2739	208487	72634	1282	101
