country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	f	female	2660	720	11850166	4488351	44204	5186
BG	Bulgaria	m	male	2524	712	16259529	6022985	56993	6910
BG	Bulgaria	u	unknown	2328	665	117877	43218	502	74
