country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CZ	Czechia	w020	Week 20	2019-05-13	2019-05-15	1420	175	8810206	2842103	30185	6937
CZ	Czechia	w019	Week 19	2019-05-06	2019-05-12	2489	204	24308800	8202287	92327	22344
CZ	Czechia	w018	Week 18	2019-04-29	2019-05-05	1460	212	15914745	5825237	56649	17327
CZ	Czechia	w017	Week 17	2019-04-22	2019-04-28	1113	201	8394076	2589652	36623	10021
CZ	Czechia	w016	Week 16	2019-04-15	2019-04-21	991	225	10276885	3465910	38308	9305
CZ	Czechia	w015	Week 15	2019-04-08	2019-04-14	1039	311	6220641	2406714	28224	5323
CZ	Czechia	w014	Week 14	2019-04-01	2019-04-07	832	314	3259535	1139708	12517	2213
CZ	Czechia	w013	Week 13	2019-03-25	2019-03-31	579	225	3469080	1334588	15639	3338
CZ	Czechia	w012	Week 12	2019-03-18	2019-03-24	458	196	3960727	1552063	19326	4060
CZ	Czechia	w011	Week 11	2019-03-11	2019-03-17	252	116	1050680	311017	3999	742
CZ	Czechia	w010	Week 10	2019-03-04	2019-03-10	269	99	1251057	430338	2917	532
CZ	Czechia	w009	Week 9	2019-02-25	2019-03-03	130	56	261139	67225	1109	114
CZ	Czechia	w008	Week 8	2019-02-18	2019-02-24	98	48	218213	69340	804	164
CZ	Czechia	w007	Week 7	2019-02-11	2019-02-17	76	42	219300	88107	604	116
CZ	Czechia	w006	Week 6	2019-02-04	2019-02-10	69	33	210213	69797	825	161
CZ	Czechia	w005	Week 5	2019-01-28	2019-02-03	72	28	88538	30769	265	60
CZ	Czechia	w004	Week 4	2019-01-21	2019-01-27	58	27	92047	31293	278	76
CZ	Czechia	w003	Week 3	2019-01-14	2019-01-20	63	25	151027	62915	758	167
CZ	Czechia	w002	Week 2	2019-01-07	2019-01-13	44	23	46010	18193	163	47
CZ	Czechia	w001	Week 1	2019-01-01	2019-01-06	28	14	102704	51108	396	188
