country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	budapest	Budapest	3894	872	17990690	7008943	42355	12081
HU	Hungary	pest_county	Pest County	3187	747	2307731	837963	5977	1879
HU	Hungary	borsod_abauj_zemplen_county	Borsod-Abaúj-Zemplén County	2914	635	1509190	511821	2891	890
HU	Hungary	bacs_kiskun_county	Bács-Kiskun County	2838	627	1257879	390104	3023	788
HU	Hungary	csongrad_county	Csongrád County	2922	632	1143925	426053	2901	1067
HU	Hungary	szabolcs_szatmar_bereg_county	Szabolcs-Szatmár-Bereg County	2733	612	1007055	341099	2261	647
HU	Hungary	bekes_county	Békés County	2670	574	941461	280585	1735	449
HU	Hungary	fejer_county	Fejér County	2839	597	939328	359698	2137	765
HU	Hungary	hajdu_bihar_county	Hajdú-Bihar County	2937	636	913213	329913	1923	695
HU	Hungary	somogy_county	Somogy County	2661	563	838909	225099	1523	483
HU	Hungary	gyor_moson_sopron_county	Győr-Moson-Sopron County	3039	650	835606	265753	1781	519
HU	Hungary	baranya_county	Baranya County	2875	597	719644	225264	1811	525
HU	Hungary	jasz_nagykun_szolnok_county	Jász-Nagykun-Szolnok County	2649	565	711929	227121	1512	460
HU	Hungary	veszprem_county	Veszprém County	2709	588	681352	185732	1597	448
HU	Hungary	vas_county	Vas County	2645	547	647259	181536	1499	365
HU	Hungary	heves_county	Heves County	2616	572	570801	162656	1091	314
HU	Hungary	komarom_esztergom_county	Komárom-Esztergom County	2777	583	558983	210031	1702	510
HU	Hungary	zala_county	Zala County	2622	543	542116	174562	1318	400
HU	Hungary	tolna_county	Tolna County	2474	511	219396	71862	586	184
HU	Hungary	nograd_county	Nógrád County	2371	495	149641	58754	296	87
