advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	1m_10m	1m - 10m	78	1	92115255	9211525	6095	535
Future Innovation SRL		AR474748779908562944	Google	1m_10m	1m - 10m	36	1	87098097	8709809	275894	4761
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	1m_10m	1m - 10m	58	1	70842452	7084245	348141	6115
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	1m_10m	1m - 10m	27	1	50071369	5007136	182574	3180
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	1m_10m	1m - 10m	35	1	41040457	4104045	102395	2006
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1m_10m	1m - 10m	38	1	34317445	3431744	113985	2212
Freiheitliche Partei Österreich		AR333020356698701824	Google	1m_10m	1m - 10m	16	1	31507836	3150783	144494	14389
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	1m_10m	1m - 10m	21	1	29199935	2919993	204098	15357
SOCIALDEMOKRATIET		AR271193993235136512	Google	1m_10m	1m - 10m	46	1	17660430	1766043	338809	5759
HEADS, s.r.o.		AR356967719951663104	Google	1m_10m	1m - 10m	15	1	15954602	1595460	26425	582
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	1m_10m	1m - 10m	22	1	14248761	1424876	205302	3421
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	1m_10m	1m - 10m	19	1	13345671	1334567	1615	146
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	1m_10m	1m - 10m	6	1	13245332	1324533	55239	933
Det Konservative Folkeparti		AR40969452518375424	Google	1m_10m	1m - 10m	13	1	11539491	1153949	79622	1389
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	1m_10m	1m - 10m	25	1	11338800	1133880	1921	171
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	1m_10m	1m - 10m	11	1	10937431	1093743	1359	131
Partido Animalista PACMA		AR145115193901318144	Google	1m_10m	1m - 10m	7	1	9733311	973331	39806	692
Občanska demokraticka strana		AR386241117529571328	Google	1m_10m	1m - 10m	6	1	9432281	943228	18638	357
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	1m_10m	1m - 10m	31	1	9331929	933192	466	0
Párbeszéd Magyarországért		AR567356246269624320	Google	1m_10m	1m - 10m	5	1	9131251	913125	25136	456
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	1m_10m	1m - 10m	16	1	8629530	862953	117908	2007
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	1m_10m	1m - 10m	26	1	7826779	782677	2829	270
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	1m_10m	1m - 10m	26	1	7826779	782677	12387	481
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	1m_10m	1m - 10m	12	1	7425410	742541	642	50
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	1m_10m	1m - 10m	12	1	7425410	742541	1184	110
