country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IE	Ireland	d135	2019-05-15	434	132	1512593	503327	10947	1382
IE	Ireland	d134	2019-05-14	454	138	1573009	518722	11123	1396
IE	Ireland	d133	2019-05-13	447	138	1640384	560547	9728	1456
IE	Ireland	d132	2019-05-12	416	131	1533309	530625	8027	1317
IE	Ireland	d131	2019-05-11	437	133	1588437	556590	7642	1332
IE	Ireland	d130	2019-05-10	567	127	1871276	633503	9823	1496
IE	Ireland	d129	2019-05-09	529	126	1898154	682521	12137	2186
IE	Ireland	d128	2019-05-08	478	132	1365475	468719	8901	1535
IE	Ireland	d127	2019-05-07	475	123	1293169	430306	8919	1343
IE	Ireland	d126	2019-05-06	471	124	1298150	424692	8767	1174
IE	Ireland	d125	2019-05-05	468	126	1121373	388412	8141	1175
IE	Ireland	d124	2019-05-04	475	127	1543019	557361	11846	1878
IE	Ireland	d123	2019-05-03	499	134	1143406	401639	8046	1113
IE	Ireland	d122	2019-05-02	532	136	1138666	393578	7645	1043
IE	Ireland	d121	2019-05-01	507	136	1088311	366672	7281	994
IE	Ireland	d120	2019-04-30	568	155	1115131	372316	8267	1043
IE	Ireland	d119	2019-04-29	544	147	2301357	994091	12160	2073
IE	Ireland	d118	2019-04-28	522	148	1925907	843439	9073	1472
IE	Ireland	d117	2019-04-27	516	149	671770	230474	3697	409
IE	Ireland	d116	2019-04-26	550	153	730222	250694	4043	478
IE	Ireland	d115	2019-04-25	526	152	707707	233049	3660	387
IE	Ireland	d114	2019-04-24	495	149	790882	281409	3900	406
IE	Ireland	d113	2019-04-23	503	151	557534	194805	3057	375
IE	Ireland	d112	2019-04-22	425	142	908421	397551	4836	750
IE	Ireland	d111	2019-04-21	422	137	920566	404489	4654	739
IE	Ireland	d110	2019-04-20	428	151	899199	397645	4612	713
IE	Ireland	d109	2019-04-19	459	162	608169	245190	3055	388
IE	Ireland	d108	2019-04-18	462	161	707892	285388	3637	558
IE	Ireland	d107	2019-04-17	375	157	313800	107400	1958	297
IE	Ireland	d106	2019-04-16	402	159	401100	145718	2414	388
