advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lilian Marijnissen	SP	844559615710915	Facebook	100_1k	100 - 1k	NL	Netherlands	32	1	4249945	1829989	18467	5199
Europees Parlement Nederland		270788920480	Facebook	100_1k	100 - 1k	NL	Netherlands	30	1	3599959	1599995	20969	7799
European Parliament		178362315106	Facebook	100_1k	100 - 1k	NL	Netherlands	33	1	3457393	1422974	12495	4007
SP	SP	128393027527	Facebook	100_1k	100 - 1k	NL	Netherlands	34	1	2669966	1020000	20466	6199
NPO Zapp		205247699486388	Facebook	100_1k	100 - 1k	NL	Netherlands	4	1	2299886	1149945	2495	799
D66	D66	52985377549	Facebook	100_1k	100 - 1k	NL	Netherlands	17	1	2099961	829991	10482	3299
GroenLinks	GroenLinks	175740570505	Facebook	100_1k	100 - 1k	NL	Netherlands	18	1	2009976	834997	11981	4199
Stichting Vluchteling		120034538112114	Facebook	100_1k	100 - 1k	NL	Netherlands	29	1	1859970	645000	19470	6899
Stichting De Noordzee		128160633899802	Facebook	100_1k	100 - 1k	NL	Netherlands	11	1	1849968	829991	6488	1899
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	100_1k	100 - 1k	NL	Netherlands	7	1	1699987	749997	3992	1099
Oxfam Novib		115289021825188	Facebook	100_1k	100 - 1k	NL	Netherlands	19	1	1599962	649991	10480	2699
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	100_1k	100 - 1k	NL	Netherlands	19	1	1494779	598959	9429	1889
VVD		121264564551002	Facebook	100_1k	100 - 1k	NL	Netherlands	8	1	1399992	620000	3991	799
Henk Jan Ormel	CDA	823537391322678	Facebook	100_1k	100 - 1k	NL	Netherlands	17	1	1297090	468931	8462	1695
Wilde Ganzen		105516159523693	Facebook	100_1k	100 - 1k	NL	Netherlands	5	1	1259974	514991	3494	1299
CDA Gelderland		133724653386228	Facebook	100_1k	100 - 1k	NL	Netherlands	6	1	1149994	510000	3494	1000
Vereniging Eigen Huis		371735371563	Facebook	100_1k	100 - 1k	NL	Netherlands	6	1	1099993	469999	3993	1399
Bas Eickhout	GroenLinks	208578955894331	Facebook	100_1k	100 - 1k	NL	Netherlands	16	1	1059984	365000	9484	2800
Milieu Centraal		177508708941577	Facebook	100_1k	100 - 1k	NL	Netherlands	6	1	1049985	429995	3993	1399
Blendle		181375052003138	Facebook	100_1k	100 - 1k	NL	Netherlands	18	1	1049981	299999	9981	2599
Kialo		729627343834501	Facebook	100_1k	100 - 1k	NL	Netherlands	268	1	1016741	427597	7329	1826
European Greens		141366725876424	Facebook	100_1k	100 - 1k	NL	Netherlands	26	1	755970	319126	4323	1453
Muchachomalo		107341942644703	Facebook	100_1k	100 - 1k	NL	Netherlands	8	1	599992	210000	4992	1600
Greenpeace Nederland		288295911466	Facebook	100_1k	100 - 1k	NL	Netherlands	10	1	559987	174998	4989	999
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	100_1k	100 - 1k	NL	Netherlands	6	1	549986	229996	3993	1399
