week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-16	PT	Portugal	198	69	1833600	718558	4156	446
w019	Week 19	2019-05-06	2019-05-12	PT	Portugal	244	91	3708623	1650048	8808	1413
w018	Week 18	2019-04-29	2019-05-05	PT	Portugal	418	130	4122433	1851269	13929	3194
w017	Week 17	2019-04-22	2019-04-28	PT	Portugal	805	174	3413271	1443848	14157	2583
w016	Week 16	2019-04-15	2019-04-21	PT	Portugal	973	209	4066149	1671432	10261	1391
w015	Week 15	2019-04-08	2019-04-14	PT	Portugal	1082	361	8248352	3210706	27075	4203
w014	Week 14	2019-04-01	2019-04-07	PT	Portugal	814	350	5361055	2047976	17755	2348
w013	Week 13	2019-03-25	2019-03-31	PT	Portugal	644	294	3662045	1351563	13790	1791
w012	Week 12	2019-03-18	2019-03-24	PT	Portugal	543	238	2962112	1077684	9450	619
w011	Week 11	2019-03-11	2019-03-17	PT	Portugal	388	188	3412968	1341600	11824	1722
w010	Week 10	2019-03-04	2019-03-10	PT	Portugal	400	192	5255588	2067442	16131	2194
w009	Week 9	2019-02-25	2019-03-03	PT	Portugal	174	94	641754	238075	2037	220
w008	Week 8	2019-02-18	2019-02-24	PT	Portugal	121	69	468574	189980	2086	289
w007	Week 7	2019-02-11	2019-02-17	PT	Portugal	97	60	188524	60032	1106	32
w006	Week 6	2019-02-04	2019-02-10	PT	Portugal	75	41	343151	133393	1454	182
w005	Week 5	2019-01-28	2019-02-03	PT	Portugal	92	35	77818	33613	352	27
w004	Week 4	2019-01-21	2019-01-27	PT	Portugal	80	32	96732	37449	589	68
w003	Week 3	2019-01-14	2019-01-20	PT	Portugal	96	36	398665	147036	1733	256
w002	Week 2	2019-01-07	2019-01-13	PT	Portugal	63	29	299811	97196	1024	105
w001	Week 1	2019-01-01	2019-01-06	PT	Portugal	59	27	767246	298950	1502	210
