platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	DK	Denmark	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	285	1	9880650	3507969	79256	21129
f	Facebook	DK	Denmark	European Parliament		178362315106	Facebook	81	1	5520259	2336483	47835	10807
f	Facebook	DK	Denmark	Socialdemokratiet		41459763029	Facebook	104	1	3458809	1145971	39044	10738
f	Facebook	DK	Denmark	Liberal Alliance	Liberal Alliance	106952222676974	Facebook	690	1	3416919	749687	29344	6130
f	Facebook	DK	Denmark	Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	130	1	2979821	997984	40205	11260
f	Facebook	DK	Denmark	Lizette Risgaard		547601668763372	Facebook	71	1	2710918	1071998	29381	7578
f	Facebook	DK	Denmark	Red Barnet		67571270393	Facebook	82	1	2444902	846995	40734	10390
f	Facebook	DK	Denmark	Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	33	1	2325937	885988	32826	8368
f	Facebook	DK	Denmark	Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	11	1	1820938	779975	20899	6185
f	Facebook	DK	Denmark	Morten Dahlin	Morten Dahlin	577345799101307	Facebook	178	1	1652571	391955	6047	1031
f	Facebook	DK	Denmark	SF	SF	74796954245	Facebook	46	1	1541951	424999	13839	3200
f	Facebook	DK	Denmark	Pia Olsen Dyhr	SF	49348971479	Facebook	51	1	1434944	465997	11749	2892
f	Facebook	DK	Denmark	Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	34	1	1407952	382997	11885	2811
f	Facebook	DK	Denmark	Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	22	1	1365978	486000	19626	6172
f	Facebook	DK	Denmark	SE Energi & Klima		169900309711559	Facebook	43	1	1358745	480933	8736	2396
f	Facebook	DK	Denmark	World Animal Protection Danmark		33588644626	Facebook	5	1	1349921	559969	16066	3615
f	Facebook	DK	Denmark	Mona Juul	Mona Juul	2079067062409423	Facebook	76	1	1152924	326000	10072	2075
f	Facebook	DK	Denmark	Enhedslisten	Enhedslisten	223040066022	Facebook	22	1	1033963	331997	6491	1928
f	Facebook	DK	Denmark	Oatly		214112085661044	Facebook	4	1	1005605	404243	6167	1485
f	Facebook	DK	Denmark	Røde Kors		65929129383	Facebook	27	1	862973	211000	9409	2919
f	Facebook	DK	Denmark	Danske Medier	Danske Medier	300107073389986	Facebook	47	1	835646	254909	3688	963
f	Facebook	DK	Denmark	Naser Khader		1995019340791443	Facebook	14	1	810986	255000	8781	2155
f	Facebook	DK	Denmark	Folkekirkens Nødhjælp		276770505228	Facebook	86	1	801900	200993	5531	1272
f	Facebook	DK	Denmark	Morten Østergaard	Radikale Venstre	252520351444054	Facebook	36	1	758950	167997	4909	1031
f	Facebook	DK	Denmark	Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	65	1	744933	190999	4436	1231
