country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IT	Italy	lombardia	Lombardia	10556	2759	26595968	8935008	170974	12439
IT	Italy	lazio	Lazio	9361	2439	16742541	5389736	100317	7153
IT	Italy	piedmont	Piedmont	9569	2398	16727708	5611488	103736	9350
IT	Italy	veneto	Veneto	8997	2366	12075040	3678976	77554	3367
IT	Italy	emilia_romagna	Emilia-Romagna	9528	2467	11781960	3501140	97670	3829
IT	Italy	campania	Campania	8808	2184	11753565	3869852	69037	4432
IT	Italy	tuscany	Tuscany	8845	2326	10077772	3080765	77117	3337
IT	Italy	sicilia	Sicilia	8307	2096	9485694	2942313	56390	3685
IT	Italy	puglia	Puglia	8511	2127	7780309	2303197	47456	1942
IT	Italy	umbria	Umbria	7624	1924	2993245	851301	23421	598
IT	Italy	calabria	Calabria	7911	1937	2605207	829701	14977	669
IT	Italy	liguria	Liguria	8352	2055	2337188	648406	21933	754
IT	Italy	marche	Marche	7967	1989	2189974	621673	20471	302
IT	Italy	trentino_alto_adige	Trentino-Alto Adige	7462	1938	1936996	515032	14746	745
IT	Italy	basilicata	Basilicata	7101	1722	1900516	674608	8951	533
IT	Italy	friuli_venezia_giulia	Friuli-Venezia Giulia	7866	1960	1497920	485600	15239	513
IT	Italy	sardinia	Sardinia	7559	1872	1341323	384307	9582	263
IT	Italy	abruzzo	Abruzzo	7851	1908	1299696	361361	11314	241
IT	Italy	aosta_valley	Aosta Valley	6057	1508	192248	51082	969	15
IT	Italy	molise	Molise	6680	1625	160633	37279	1847	106
